# Distance / pm;  g(r);  Integral
201.3333333;  0.000000000;  0.000000000
204.0000000;  0.000000000;  0.000000000
206.6666667;  0.000000000;  0.000000000
209.3333333;  0.000000000;  0.000000000
212.0000000;  0.000000000;  0.000000000
214.6666667;  0.000000000;  0.000000000
217.3333333;  0.000000000;  0.000000000
220.0000000;  0.000000000;  0.000000000
222.6666667;  0.000000000;  0.000000000
225.3333333;  0.000000000;  0.000000000
228.0000000;  0.000000000;  0.000000000
230.6666667;  0.000000000;  0.000000000
233.3333333;  0.000000000;  0.000000000
236.0000000;  0.000000000;  0.000000000
238.6666667;  0.000000000;  0.000000000
241.3333333;  0.000000000;  0.000000000
244.0000000;  0.000000000;  0.000000000
246.6666667;  0.000000000;  0.000000000
249.3333333;  0.000000000;  0.000000000
252.0000000;  0.000000000;  0.000000000
254.6666667;  0.000000000;  0.000000000
257.3333333;  0.000000000;  0.000000000
260.0000000;  0.000000000;  0.000000000
262.6666667;  5.223038462E-08;  3.774591425E-09
265.3333333;  3.234077197E-07;  2.762362215E-08
268.0000000;  2.135159905E-06;  1.882573159E-07
270.6666667;  6.527743184E-06;  6.891782609E-07
273.3333333;  2.360272384E-05;  2.536250302E-06
276.0000000;  7.557279589E-05;  8.566289032E-06
278.6666667;  0.0001938309445;  2.433258013E-05
281.3333333;  0.0004670040093;  6.304936754E-05
284.0000000;  0.001000701492;  0.0001475923350
286.6666667;  0.001899842706;  0.0003111264030
289.3333333;  0.003247933018;  0.0005959265103
292.0000000;  0.005206748112;  0.001060943006
294.6666667;  0.007797221349;  0.001770092695
297.3333333;  0.01103257330;  0.002791737666
300.0000000;  0.01499212231;  0.004205061084
302.6666667;  0.01965541215;  0.006091085111
305.3333333;  0.02492132403;  0.008524719758
308.0000000;  0.03094579596;  0.01159967553
310.6666667;  0.03754451387;  0.01539519773
313.3333333;  0.04506406045;  0.02002944507
316.0000000;  0.05353001003;  0.02562840213
318.6666667;  0.06289689238;  0.03231858620
321.3333333;  0.07326500716;  0.04024257251
324.0000000;  0.08467240261;  0.04955295289
326.6666667;  0.09684942683;  0.06037830865
329.3333333;  0.1100745262;  0.07288359517
332.0000000;  0.1240135182;  0.08720153721
334.6666667;  0.1385690302;  0.1034580152
337.3333333;  0.1539088947;  0.1218030089
340.0000000;  0.1696235972;  0.1423420138
342.6666667;  0.1856269717;  0.1651727576
345.3333333;  0.2019598800;  0.1904004387
348.0000000;  0.2180512043;  0.2180604385
350.6666667;  0.2340021841;  0.2482004937
353.3333333;  0.2495960496;  0.2808398856
356.0000000;  0.2647426651;  0.3159845202
358.6666667;  0.2791261376;  0.3535957565
361.3333333;  0.2925630543;  0.3936059431
364.0000000;  0.3056113644;  0.4360197524
366.6666667;  0.3178268479;  0.4807775208
369.3333333;  0.3288408431;  0.5277623574
372.0000000;  0.3388951030;  0.5768854954
374.6666667;  0.3477928410;  0.6280237209
377.3333333;  0.3558061630;  0.6810875624
380.0000000;  0.3627165989;  0.7359492895
382.6666667;  0.3686161852;  0.7924885982
385.3333333;  0.3735264171;  0.8505823310
388.0000000;  0.3776624887;  0.9101351167
390.6666667;  0.3809672804;  0.9710376204
393.3333333;  0.3836021200;  1.033201375
396.0000000;  0.3855026989;  1.096523066
398.6666667;  0.3688200948;  1.157923171
401.3333333;  0.2618453944;  1.202099546
404.0000000;  0.2398909990;  1.243111581
406.6666667;  0.2351216290;  1.283840639
409.3333333;  0.2299722546;  1.324201858
412.0000000;  0.2250945878;  1.364223423
414.6666667;  0.2195323821;  1.403762944
417.3333333;  0.2135627948;  1.442723603
420.0000000;  0.2077286862;  1.481105778
422.6666667;  0.2015065202;  1.518812572
425.3333333;  0.1952128045;  1.555804046
