# [N1C1-2r_N1C1-2o] Distance / pm; [C2r_N1r]-[C2o_N1o] Angle / Degree; Occurrence
204.0000000;  0.9000000000;  0.000000000
212.0000000;  0.9000000000;  0.000000000
220.0000000;  0.9000000000;  0.000000000
228.0000000;  0.9000000000;  0.000000000
236.0000000;  0.9000000000;  0.000000000
244.0000000;  0.9000000000;  0.000000000
252.0000000;  0.9000000000;  0.000000000
260.0000000;  0.9000000000;  0.000000000
268.0000000;  0.9000000000;  0.000000000
276.0000000;  0.9000000000;  0.000000000
284.0000000;  0.9000000000;  0.05315370591
292.0000000;  0.9000000000;  0.5543266070
300.0000000;  0.9000000000;  3.587835806
308.0000000;  0.9000000000;  12.66834603
316.0000000;  0.9000000000;  39.28415654
324.0000000;  0.9000000000;  101.4295654
332.0000000;  0.9000000000;  242.1466213
340.0000000;  0.9000000000;  430.7959516
348.0000000;  0.9000000000;  666.5657249
356.0000000;  0.9000000000;  905.8142406
364.0000000;  0.9000000000;  1162.642706
372.0000000;  0.9000000000;  1431.184625
380.0000000;  0.9000000000;  1655.611874
388.0000000;  0.9000000000;  1816.853697
396.0000000;  0.9000000000;  1687.690342
404.0000000;  0.9000000000;  888.8393499
412.0000000;  0.9000000000;  554.4575913
420.0000000;  0.9000000000;  494.8952988
428.0000000;  0.9000000000;  456.5473467
436.0000000;  0.9000000000;  421.0565452
444.0000000;  0.9000000000;  392.1902656
452.0000000;  0.9000000000;  336.5263451
460.0000000;  0.9000000000;  292.6451089
468.0000000;  0.9000000000;  236.3858227
476.0000000;  0.9000000000;  185.4324176
484.0000000;  0.9000000000;  139.1158407
492.0000000;  0.9000000000;  114.1727868
500.0000000;  0.9000000000;  93.42191629
508.0000000;  0.9000000000;  84.05619142
516.0000000;  0.9000000000;  77.25135800
524.0000000;  0.9000000000;  70.19785839
532.0000000;  0.9000000000;  65.14220861
540.0000000;  0.9000000000;  62.28084489
548.0000000;  0.9000000000;  53.40127343
556.0000000;  0.9000000000;  43.69129221
564.0000000;  0.9000000000;  35.01227705
572.0000000;  0.9000000000;  25.93000925
580.0000000;  0.9000000000;  16.94559458
588.0000000;  0.9000000000;  9.878477011
596.0000000;  0.9000000000;  4.368045499
604.0000000;  0.9000000000;  1.525398430
612.0000000;  0.9000000000;  0.1441133714
620.0000000;  0.9000000000;  0.01558654514
628.0000000;  0.9000000000;  0.000000000
636.0000000;  0.9000000000;  0.000000000
644.0000000;  0.9000000000;  0.000000000
652.0000000;  0.9000000000;  0.000000000
660.0000000;  0.9000000000;  0.000000000
668.0000000;  0.9000000000;  0.000000000
676.0000000;  0.9000000000;  0.000000000
684.0000000;  0.9000000000;  0.000000000
692.0000000;  0.9000000000;  0.000000000
700.0000000;  0.9000000000;  0.000000000
708.0000000;  0.9000000000;  0.000000000
716.0000000;  0.9000000000;  0.000000000
724.0000000;  0.9000000000;  0.000000000
732.0000000;  0.9000000000;  0.000000000
740.0000000;  0.9000000000;  0.000000000
748.0000000;  0.9000000000;  0.000000000
756.0000000;  0.9000000000;  0.000000000
764.0000000;  0.9000000000;  0.000000000
772.0000000;  0.9000000000;  0.000000000
780.0000000;  0.9000000000;  0.000000000
788.0000000;  0.9000000000;  0.000000000
796.0000000;  0.9000000000;  0.000000000
804.0000000;  0.9000000000;  0.000000000
812.0000000;  0.9000000000;  0.000000000
820.0000000;  0.9000000000;  0.000000000
828.0000000;  0.9000000000;  0.000000000
836.0000000;  0.9000000000;  0.000000000
844.0000000;  0.9000000000;  0.000000000
852.0000000;  0.9000000000;  0.000000000
860.0000000;  0.9000000000;  0.000000000
868.0000000;  0.9000000000;  0.000000000
876.0000000;  0.9000000000;  0.000000000
884.0000000;  0.9000000000;  0.000000000
892.0000000;  0.9000000000;  0.000000000
900.0000000;  0.9000000000;  0.000000000
908.0000000;  0.9000000000;  0.000000000
916.0000000;  0.9000000000;  0.000000000
924.0000000;  0.9000000000;  0.000000000
932.0000000;  0.9000000000;  0.000000000
940.0000000;  0.9000000000;  0.000000000
948.0000000;  0.9000000000;  0.000000000
956.0000000;  0.9000000000;  0.000000000
964.0000000;  0.9000000000;  0.000000000
972.0000000;  0.9000000000;  0.000000000
980.0000000;  0.9000000000;  0.000000000
988.0000000;  0.9000000000;  0.000000000
996.0000000;  0.9000000000;  0.000000000
204.0000000;  2.700000000;  0.000000000
212.0000000;  2.700000000;  0.000000000
220.0000000;  2.700000000;  0.000000000
228.0000000;  2.700000000;  0.000000000
236.0000000;  2.700000000;  0.000000000
244.0000000;  2.700000000;  0.000000000
252.0000000;  2.700000000;  0.000000000
260.0000000;  2.700000000;  0.000000000
268.0000000;  2.700000000;  0.000000000
276.0000000;  2.700000000;  0.000000000
284.0000000;  2.700000000;  0.03669701887
292.0000000;  2.700000000;  0.8643108159
300.0000000;  2.700000000;  3.723876561
308.0000000;  2.700000000;  10.82032688
316.0000000;  2.700000000;  32.10697777
324.0000000;  2.700000000;  90.83555004
332.0000000;  2.700000000;  211.0093649
340.0000000;  2.700000000;  389.8149229
348.0000000;  2.700000000;  598.0871118
356.0000000;  2.700000000;  820.9384341
364.0000000;  2.700000000;  1061.959908
372.0000000;  2.700000000;  1295.743080
380.0000000;  2.700000000;  1509.657128
388.0000000;  2.700000000;  1632.397420
396.0000000;  2.700000000;  1500.672743
404.0000000;  2.700000000;  827.5667819
412.0000000;  2.700000000;  527.2450921
420.0000000;  2.700000000;  452.8320138
428.0000000;  2.700000000;  418.7018857
436.0000000;  2.700000000;  386.9133475
444.0000000;  2.700000000;  355.1088862
452.0000000;  2.700000000;  309.1771093
460.0000000;  2.700000000;  263.4916445
468.0000000;  2.700000000;  213.9991426
476.0000000;  2.700000000;  166.6753620
484.0000000;  2.700000000;  129.1712229
492.0000000;  2.700000000;  104.2400823
500.0000000;  2.700000000;  86.43592466
508.0000000;  2.700000000;  75.32809541
516.0000000;  2.700000000;  70.65895510
524.0000000;  2.700000000;  65.60605999
532.0000000;  2.700000000;  59.38490334
540.0000000;  2.700000000;  55.99442126
548.0000000;  2.700000000;  48.31995934
556.0000000;  2.700000000;  41.53948125
564.0000000;  2.700000000;  31.71593594
572.0000000;  2.700000000;  23.47634220
580.0000000;  2.700000000;  15.51014633
588.0000000;  2.700000000;  8.880877204
596.0000000;  2.700000000;  4.061343115
604.0000000;  2.700000000;  1.330929007
612.0000000;  2.700000000;  0.2521641573
620.0000000;  2.700000000;  0.01379859122
628.0000000;  2.700000000;  0.000000000
636.0000000;  2.700000000;  0.000000000
644.0000000;  2.700000000;  0.000000000
652.0000000;  2.700000000;  0.000000000
660.0000000;  2.700000000;  0.000000000
668.0000000;  2.700000000;  0.000000000
676.0000000;  2.700000000;  0.000000000
684.0000000;  2.700000000;  0.000000000
692.0000000;  2.700000000;  0.000000000
700.0000000;  2.700000000;  0.000000000
708.0000000;  2.700000000;  0.000000000
716.0000000;  2.700000000;  0.000000000
724.0000000;  2.700000000;  0.000000000
732.0000000;  2.700000000;  0.000000000
740.0000000;  2.700000000;  0.000000000
748.0000000;  2.700000000;  0.000000000
756.0000000;  2.700000000;  0.000000000
764.0000000;  2.700000000;  0.000000000
772.0000000;  2.700000000;  0.000000000
780.0000000;  2.700000000;  0.000000000
788.0000000;  2.700000000;  0.000000000
796.0000000;  2.700000000;  0.000000000
804.0000000;  2.700000000;  0.000000000
812.0000000;  2.700000000;  0.000000000
820.0000000;  2.700000000;  0.000000000
828.0000000;  2.700000000;  0.000000000
836.0000000;  2.700000000;  0.000000000
844.0000000;  2.700000000;  0.000000000
852.0000000;  2.700000000;  0.000000000
860.0000000;  2.700000000;  0.000000000
868.0000000;  2.700000000;  0.000000000
876.0000000;  2.700000000;  0.000000000
884.0000000;  2.700000000;  0.000000000
892.0000000;  2.700000000;  0.000000000
900.0000000;  2.700000000;  0.000000000
908.0000000;  2.700000000;  0.000000000
916.0000000;  2.700000000;  0.000000000
924.0000000;  2.700000000;  0.000000000
932.0000000;  2.700000000;  0.000000000
940.0000000;  2.700000000;  0.000000000
948.0000000;  2.700000000;  0.000000000
956.0000000;  2.700000000;  0.000000000
964.0000000;  2.700000000;  0.000000000
972.0000000;  2.700000000;  0.000000000
980.0000000;  2.700000000;  0.000000000
988.0000000;  2.700000000;  0.000000000
996.0000000;  2.700000000;  0.000000000
204.0000000;  4.500000000;  0.000000000
212.0000000;  4.500000000;  0.000000000
220.0000000;  4.500000000;  0.000000000
228.0000000;  4.500000000;  0.000000000
236.0000000;  4.500000000;  0.000000000
244.0000000;  4.500000000;  0.000000000
252.0000000;  4.500000000;  0.000000000
260.0000000;  4.500000000;  0.000000000
268.0000000;  4.500000000;  0.000000000
276.0000000;  4.500000000;  0.04400633779
284.0000000;  4.500000000;  0.1600457622
292.0000000;  4.500000000;  1.076421243
300.0000000;  4.500000000;  4.090614739
308.0000000;  4.500000000;  11.21542109
316.0000000;  4.500000000;  33.49044694
324.0000000;  4.500000000;  92.18700946
332.0000000;  4.500000000;  211.7021278
340.0000000;  4.500000000;  386.1080049
348.0000000;  4.500000000;  587.3738744
356.0000000;  4.500000000;  815.9061027
364.0000000;  4.500000000;  1047.848905
372.0000000;  4.500000000;  1273.539262
380.0000000;  4.500000000;  1477.533621
388.0000000;  4.500000000;  1577.039154
396.0000000;  4.500000000;  1433.579233
404.0000000;  4.500000000;  853.2529216
412.0000000;  4.500000000;  572.0474391
420.0000000;  4.500000000;  459.9561346
428.0000000;  4.500000000;  419.3144128
436.0000000;  4.500000000;  382.9077121
444.0000000;  4.500000000;  346.7648980
452.0000000;  4.500000000;  306.3032558
460.0000000;  4.500000000;  259.4091241
468.0000000;  4.500000000;  211.2200464
476.0000000;  4.500000000;  167.8126723
484.0000000;  4.500000000;  130.5730859
492.0000000;  4.500000000;  104.1094418
500.0000000;  4.500000000;  86.85776413
508.0000000;  4.500000000;  73.85939689
516.0000000;  4.500000000;  68.99994256
524.0000000;  4.500000000;  64.80124238
532.0000000;  4.500000000;  59.33289449
540.0000000;  4.500000000;  53.00741005
548.0000000;  4.500000000;  46.62384661
556.0000000;  4.500000000;  39.51300167
564.0000000;  4.500000000;  31.07405994
572.0000000;  4.500000000;  22.91898142
580.0000000;  4.500000000;  15.51951288
