# [N1C1-2r_N1C1-2o] Distance / pm; [C2r_N1r]-[C2o_N1o] Angle / Degree; Occurrence
204.0000000;  0.9000000000;  0.000000000
212.0000000;  0.9000000000;  0.000000000
220.0000000;  0.9000000000;  0.000000000
228.0000000;  0.9000000000;  0.000000000
236.0000000;  0.9000000000;  0.000000000
244.0000000;  0.9000000000;  0.000000000
252.0000000;  0.9000000000;  0.000000000
260.0000000;  0.9000000000;  0.000000000
268.0000000;  0.9000000000;  0.000000000
276.0000000;  0.9000000000;  0.000000000
284.0000000;  0.9000000000;  0.1080740253
292.0000000;  0.9000000000;  0.6183158463
300.0000000;  0.9000000000;  2.678570294
308.0000000;  0.9000000000;  8.913229559
316.0000000;  0.9000000000;  26.42290457
324.0000000;  0.9000000000;  70.70451354
332.0000000;  0.9000000000;  172.4241421
340.0000000;  0.9000000000;  296.4476963
348.0000000;  0.9000000000;  451.6480822
356.0000000;  0.9000000000;  626.8525116
364.0000000;  0.9000000000;  805.7389916
372.0000000;  0.9000000000;  985.2351019
380.0000000;  0.9000000000;  1159.769725
388.0000000;  0.9000000000;  1291.609481
396.0000000;  0.9000000000;  1208.399317
404.0000000;  0.9000000000;  630.8733404
412.0000000;  0.9000000000;  388.9900365
420.0000000;  0.9000000000;  339.3353084
428.0000000;  0.9000000000;  322.1176163
436.0000000;  0.9000000000;  305.8346943
444.0000000;  0.9000000000;  272.4974279
452.0000000;  0.9000000000;  244.2469323
460.0000000;  0.9000000000;  207.4986676
468.0000000;  0.9000000000;  165.3704134
476.0000000;  0.9000000000;  129.7322169
484.0000000;  0.9000000000;  99.72408460
492.0000000;  0.9000000000;  80.13051493
500.0000000;  0.9000000000;  66.97492280
508.0000000;  0.9000000000;  55.91349614
516.0000000;  0.9000000000;  51.78953402
524.0000000;  0.9000000000;  51.18481177
532.0000000;  0.9000000000;  48.71794054
540.0000000;  0.9000000000;  45.50466484
548.0000000;  0.9000000000;  36.05019096
556.0000000;  0.9000000000;  31.62810361
564.0000000;  0.9000000000;  24.65510044
572.0000000;  0.9000000000;  18.96204841
580.0000000;  0.9000000000;  13.05612895
588.0000000;  0.9000000000;  6.734772341
596.0000000;  0.9000000000;  2.838754392
604.0000000;  0.9000000000;  1.004718229
612.0000000;  0.9000000000;  0.1807971917
620.0000000;  0.9000000000;  0.000000000
628.0000000;  0.9000000000;  0.000000000
636.0000000;  0.9000000000;  0.000000000
644.0000000;  0.9000000000;  0.000000000
652.0000000;  0.9000000000;  0.000000000
660.0000000;  0.9000000000;  0.000000000
668.0000000;  0.9000000000;  0.000000000
676.0000000;  0.9000000000;  0.000000000
684.0000000;  0.9000000000;  0.000000000
692.0000000;  0.9000000000;  0.000000000
700.0000000;  0.9000000000;  0.000000000
708.0000000;  0.9000000000;  0.000000000
716.0000000;  0.9000000000;  0.000000000
724.0000000;  0.9000000000;  0.000000000
732.0000000;  0.9000000000;  0.000000000
740.0000000;  0.9000000000;  0.000000000
748.0000000;  0.9000000000;  0.000000000
756.0000000;  0.9000000000;  0.000000000
764.0000000;  0.9000000000;  0.000000000
772.0000000;  0.9000000000;  0.000000000
780.0000000;  0.9000000000;  0.000000000
788.0000000;  0.9000000000;  0.000000000
796.0000000;  0.9000000000;  0.000000000
804.0000000;  0.9000000000;  0.000000000
812.0000000;  0.9000000000;  0.000000000
820.0000000;  0.9000000000;  0.000000000
828.0000000;  0.9000000000;  0.000000000
836.0000000;  0.9000000000;  0.000000000
844.0000000;  0.9000000000;  0.000000000
852.0000000;  0.9000000000;  0.000000000
860.0000000;  0.9000000000;  0.000000000
868.0000000;  0.9000000000;  0.000000000
876.0000000;  0.9000000000;  0.000000000
884.0000000;  0.9000000000;  0.000000000
892.0000000;  0.9000000000;  0.000000000
900.0000000;  0.9000000000;  0.000000000
908.0000000;  0.9000000000;  0.000000000
916.0000000;  0.9000000000;  0.000000000
924.0000000;  0.9000000000;  0.000000000
932.0000000;  0.9000000000;  0.000000000
940.0000000;  0.9000000000;  0.000000000
948.0000000;  0.9000000000;  0.000000000
956.0000000;  0.9000000000;  0.000000000
964.0000000;  0.9000000000;  0.000000000
972.0000000;  0.9000000000;  0.000000000
980.0000000;  0.9000000000;  0.000000000
988.0000000;  0.9000000000;  0.000000000
996.0000000;  0.9000000000;  0.000000000
204.0000000;  2.700000000;  0.000000000
212.0000000;  2.700000000;  0.000000000
220.0000000;  2.700000000;  0.000000000
228.0000000;  2.700000000;  0.000000000
236.0000000;  2.700000000;  0.000000000
244.0000000;  2.700000000;  0.000000000
252.0000000;  2.700000000;  0.000000000
260.0000000;  2.700000000;  0.000000000
268.0000000;  2.700000000;  0.000000000
276.0000000;  2.700000000;  0.000000000
284.0000000;  2.700000000;  0.1959672165
292.0000000;  2.700000000;  0.5600758509
300.0000000;  2.700000000;  2.934445232
308.0000000;  2.700000000;  7.795452958
316.0000000;  2.700000000;  24.78218201
324.0000000;  2.700000000;  66.42542852
332.0000000;  2.700000000;  155.1000333
340.0000000;  2.700000000;  279.0857523
348.0000000;  2.700000000;  435.1195174
356.0000000;  2.700000000;  596.3635052
364.0000000;  2.700000000;  768.0382265
372.0000000;  2.700000000;  933.5105332
380.0000000;  2.700000000;  1088.179044
388.0000000;  2.700000000;  1199.537018
396.0000000;  2.700000000;  1097.025358
404.0000000;  2.700000000;  609.2056505
412.0000000;  2.700000000;  393.4054144
420.0000000;  2.700000000;  328.6536025
428.0000000;  2.700000000;  301.7807794
436.0000000;  2.700000000;  283.0314720
444.0000000;  2.700000000;  256.2614007
452.0000000;  2.700000000;  225.8934408
460.0000000;  2.700000000;  195.5729128
468.0000000;  2.700000000;  156.5462748
476.0000000;  2.700000000;  121.2894817
484.0000000;  2.700000000;  96.52390589
492.0000000;  2.700000000;  77.78705633
500.0000000;  2.700000000;  61.65717187
508.0000000;  2.700000000;  52.75566969
516.0000000;  2.700000000;  49.42340222
524.0000000;  2.700000000;  47.44634275
532.0000000;  2.700000000;  45.73925330
540.0000000;  2.700000000;  40.35056737
548.0000000;  2.700000000;  35.17399504
556.0000000;  2.700000000;  29.56832973
564.0000000;  2.700000000;  22.93420777
572.0000000;  2.700000000;  17.33561722
580.0000000;  2.700000000;  11.43939662
588.0000000;  2.700000000;  6.523474693
596.0000000;  2.700000000;  3.083798503
604.0000000;  2.700000000;  0.9311236498
612.0000000;  2.700000000;  0.1501999880
620.0000000;  2.700000000;  0.0001810538005
628.0000000;  2.700000000;  0.000000000
636.0000000;  2.700000000;  0.000000000
644.0000000;  2.700000000;  0.000000000
652.0000000;  2.700000000;  0.000000000
660.0000000;  2.700000000;  0.000000000
668.0000000;  2.700000000;  0.000000000
676.0000000;  2.700000000;  0.000000000
684.0000000;  2.700000000;  0.000000000
692.0000000;  2.700000000;  0.000000000
700.0000000;  2.700000000;  0.000000000
708.0000000;  2.700000000;  0.000000000
716.0000000;  2.700000000;  0.000000000
724.0000000;  2.700000000;  0.000000000
732.0000000;  2.700000000;  0.000000000
740.0000000;  2.700000000;  0.000000000
748.0000000;  2.700000000;  0.000000000
756.0000000;  2.700000000;  0.000000000
764.0000000;  2.700000000;  0.000000000
772.0000000;  2.700000000;  0.000000000
780.0000000;  2.700000000;  0.000000000
788.0000000;  2.700000000;  0.000000000
796.0000000;  2.700000000;  0.000000000
804.0000000;  2.700000000;  0.000000000
812.0000000;  2.700000000;  0.000000000
820.0000000;  2.700000000;  0.000000000
828.0000000;  2.700000000;  0.000000000
836.0000000;  2.700000000;  0.000000000
844.0000000;  2.700000000;  0.000000000
852.0000000;  2.700000000;  0.000000000
860.0000000;  2.700000000;  0.000000000
868.0000000;  2.700000000;  0.000000000
876.0000000;  2.700000000;  0.000000000
884.0000000;  2.700000000;  0.000000000
892.0000000;  2.700000000;  0.000000000
900.0000000;  2.700000000;  0.000000000
908.0000000;  2.700000000;  0.000000000
916.0000000;  2.700000000;  0.000000000
924.0000000;  2.700000000;  0.000000000
932.0000000;  2.700000000;  0.000000000
940.0000000;  2.700000000;  0.000000000
948.0000000;  2.700000000;  0.000000000
956.0000000;  2.700000000;  0.000000000
964.0000000;  2.700000000;  0.000000000
972.0000000;  2.700000000;  0.000000000
980.0000000;  2.700000000;  0.000000000
988.0000000;  2.700000000;  0.000000000
996.0000000;  2.700000000;  0.000000000
204.0000000;  4.500000000;  0.000000000
212.0000000;  4.500000000;  0.000000000
220.0000000;  4.500000000;  0.000000000
228.0000000;  4.500000000;  0.000000000
236.0000000;  4.500000000;  0.000000000
244.0000000;  4.500000000;  0.000000000
252.0000000;  4.500000000;  0.000000000
260.0000000;  4.500000000;  0.000000000
268.0000000;  4.500000000;  0.000000000
276.0000000;  4.500000000;  0.009793699133
284.0000000;  4.500000000;  0.1393905002
292.0000000;  4.500000000;  0.6273741884
300.0000000;  4.500000000;  2.592187316
308.0000000;  4.500000000;  8.173331477
316.0000000;  4.500000000;  24.40146641
324.0000000;  4.500000000;  68.61481932
332.0000000;  4.500000000;  153.8547915
340.0000000;  4.500000000;  279.1539080
348.0000000;  4.500000000;  430.5707259
356.0000000;  4.500000000;  589.1581417
364.0000000;  4.500000000;  754.2827115
372.0000000;  4.500000000;  916.2943940
380.0000000;  4.500000000;  1063.757484
388.0000000;  4.500000000;  1141.659985
396.0000000;  4.500000000;  1037.663987
404.0000000;  4.500000000;  617.6621549
412.0000000;  4.500000000;  411.4956772
420.0000000;  4.500000000;  327.3926067
428.0000000;  4.500000000;  302.4595510
436.0000000;  4.500000000;  277.4734218
444.0000000;  4.500000000;  251.3570080
452.0000000;  4.500000000;  223.2139916
460.0000000;  4.500000000;  191.1834124
468.0000000;  4.500000000;  152.4374099
476.0000000;  4.500000000;  119.5243120
484.0000000;  4.500000000;  93.75985178
492.0000000;  4.500000000;  75.92407914
500.0000000;  4.500000000;  62.33588434
508.0000000;  4.500000000;  54.37348907
516.0000000;  4.500000000;  49.08762534
524.0000000;  4.500000000;  46.48206838
532.0000000;  4.500000000;  44.18373570
540.0000000;  4.500000000;  37.99851271
548.0000000;  4.500000000;  34.91597979
556.0000000;  4.500000000;  28.38691876
564.0000000;  4.500000000;  22.87994568
572.0000000;  4.500000000;  17.56054885
580.0000000;  4.500000000;  11.57455587
