# Distance / pm;  g(r);  Integral
201.3333333;  0.000000000;  0.000000000
204.0000000;  0.000000000;  0.000000000
206.6666667;  0.000000000;  0.000000000
209.3333333;  0.000000000;  0.000000000
212.0000000;  0.000000000;  0.000000000
214.6666667;  0.000000000;  0.000000000
217.3333333;  0.000000000;  0.000000000
220.0000000;  0.000000000;  0.000000000
222.6666667;  0.000000000;  0.000000000
225.3333333;  0.000000000;  0.000000000
228.0000000;  0.000000000;  0.000000000
230.6666667;  0.000000000;  0.000000000
233.3333333;  0.000000000;  0.000000000
236.0000000;  0.000000000;  0.000000000
238.6666667;  0.000000000;  0.000000000
241.3333333;  0.000000000;  0.000000000
244.0000000;  0.000000000;  0.000000000
246.6666667;  0.000000000;  0.000000000
249.3333333;  0.000000000;  0.000000000
252.0000000;  0.000000000;  0.000000000
254.6666667;  0.000000000;  0.000000000
257.3333333;  0.000000000;  0.000000000
260.0000000;  0.000000000;  0.000000000
262.6666667;  1.021573700E-08;  7.346131476E-10
265.3333333;  4.698498731E-07;  3.521099904E-08
268.0000000;  2.145682794E-06;  1.958363270E-07
270.6666667;  6.040574603E-06;  6.570759960E-07
273.3333333;  2.698510162E-05;  2.758375875E-06
276.0000000;  8.649028593E-05;  9.625331058E-06
278.6666667;  0.0002310979077;  2.832977108E-05
281.3333333;  0.0005283233842;  7.191314090E-05
284.0000000;  0.001130879321;  0.0001669805091
286.6666667;  0.002115466375;  0.0003481724966
289.3333333;  0.003706828753;  0.0006716006907
292.0000000;  0.005937110922;  0.001199218227
294.6666667;  0.008896590318;  0.002004344343
297.3333333;  0.01259656494;  0.003165037912
300.0000000;  0.01697070661;  0.004756955687
302.6666667;  0.02205118902;  0.006862378607
305.3333333;  0.02783696795;  0.009567261488
308.0000000;  0.03439733929;  0.01296824349
310.6666667;  0.04154099699;  0.01714697276
313.3333333;  0.04953335657;  0.02221558321
316.0000000;  0.05833392890;  0.02828676599
318.6666667;  0.06812261537;  0.03549688545
321.3333333;  0.07877169112;  0.04397422459
324.0000000;  0.09019627034;  0.05384284374
326.6666667;  0.1026440306;  0.06525903112
329.3333333;  0.1163320748;  0.07840972184
332.0000000;  0.1305347580;  0.09340587987
334.6666667;  0.1454076377;  0.1103800977
337.3333333;  0.1610662474;  0.1294830572
340.0000000;  0.1770608268;  0.1508163496
342.6666667;  0.1935587805;  0.1745046622
345.3333333;  0.2102136298;  0.2006332158
348.0000000;  0.2268461824;  0.2292662535
350.6666667;  0.2433222381;  0.2604514298
353.3333333;  0.2592626762;  0.2941868885
356.0000000;  0.2749158461;  0.3305011433
358.6666667;  0.2899602313;  0.3693785967
361.3333333;  0.3039916772;  0.4107456949
364.0000000;  0.3172087427;  0.4545508473
366.6666667;  0.3295323271;  0.5007270417
369.3333333;  0.3409436874;  0.5491997058
372.0000000;  0.3512545888;  0.5998620269
374.6666667;  0.3602101049;  0.6525635511
377.3333333;  0.3680750498;  0.7071850821
380.0000000;  0.3748682484;  0.7636037685
382.6666667;  0.3807294868;  0.8217116277
385.3333333;  0.3855428053;  0.8813770656
388.0000000;  0.3895163378;  0.9424946494
390.6666667;  0.3927624629;  1.004971584
393.3333333;  0.3950724330;  1.068676835
396.0000000;  0.3967916201;  1.133529801
398.6666667;  0.3794344728;  1.196383898
401.3333333;  0.2703391010;  1.241767218
404.0000000;  0.2482715018;  1.284001637
406.6666667;  0.2435768648;  1.325986243
409.3333333;  0.2380491445;  1.367557937
412.0000000;  0.2325699647;  1.408703680
414.6666667;  0.2270198066;  1.449389103
417.3333333;  0.2210643881;  1.489518418
420.0000000;  0.2147688995;  1.529004748
422.6666667;  0.2087370376;  1.567870967
425.3333333;  0.2023459591;  1.606024094
