# [N1C1-2r_N1C1-2o] Distance / pm; [C2r_N1r]-[C2o_N1o] Angle / Degree; Occurrence
204.0000000;  0.9000000000;  0.000000000
212.0000000;  0.9000000000;  0.000000000
220.0000000;  0.9000000000;  0.000000000
228.0000000;  0.9000000000;  0.000000000
236.0000000;  0.9000000000;  0.000000000
244.0000000;  0.9000000000;  0.000000000
252.0000000;  0.9000000000;  0.000000000
260.0000000;  0.9000000000;  0.000000000
268.0000000;  0.9000000000;  0.000000000
276.0000000;  0.9000000000;  0.04203521680
284.0000000;  0.9000000000;  0.6649676933
292.0000000;  0.9000000000;  2.702811437
300.0000000;  0.9000000000;  8.919365228
308.0000000;  0.9000000000;  33.24458481
316.0000000;  0.9000000000;  105.7649513
324.0000000;  0.9000000000;  299.7741831
332.0000000;  0.9000000000;  701.3575585
340.0000000;  0.9000000000;  1279.084520
348.0000000;  0.9000000000;  1965.888522
356.0000000;  0.9000000000;  2754.882110
364.0000000;  0.9000000000;  3509.378325
372.0000000;  0.9000000000;  4310.575925
380.0000000;  0.9000000000;  5063.797780
388.0000000;  0.9000000000;  5597.784020
396.0000000;  0.9000000000;  5177.134375
404.0000000;  0.9000000000;  2753.237013
412.0000000;  0.9000000000;  1701.357158
420.0000000;  0.9000000000;  1497.088106
428.0000000;  0.9000000000;  1410.450632
436.0000000;  0.9000000000;  1319.648625
444.0000000;  0.9000000000;  1187.245979
452.0000000;  0.9000000000;  1047.639974
460.0000000;  0.9000000000;  886.8170870
468.0000000;  0.9000000000;  718.0618562
476.0000000;  0.9000000000;  557.8213545
484.0000000;  0.9000000000;  432.1974757
492.0000000;  0.9000000000;  349.3263594
500.0000000;  0.9000000000;  290.1912418
508.0000000;  0.9000000000;  250.8965968
516.0000000;  0.9000000000;  233.5584881
524.0000000;  0.9000000000;  219.2612528
532.0000000;  0.9000000000;  201.1351585
540.0000000;  0.9000000000;  183.1371070
548.0000000;  0.9000000000;  159.8769731
556.0000000;  0.9000000000;  132.1830161
564.0000000;  0.9000000000;  105.8008752
572.0000000;  0.9000000000;  79.02508183
580.0000000;  0.9000000000;  52.12714626
588.0000000;  0.9000000000;  29.89363897
596.0000000;  0.9000000000;  14.28624743
604.0000000;  0.9000000000;  3.798610224
612.0000000;  0.9000000000;  0.5681752698
620.0000000;  0.9000000000;  0.04654976279
628.0000000;  0.9000000000;  0.000000000
636.0000000;  0.9000000000;  0.000000000
644.0000000;  0.9000000000;  0.000000000
652.0000000;  0.9000000000;  0.000000000
660.0000000;  0.9000000000;  0.000000000
668.0000000;  0.9000000000;  0.000000000
676.0000000;  0.9000000000;  0.000000000
684.0000000;  0.9000000000;  0.000000000
692.0000000;  0.9000000000;  0.000000000
700.0000000;  0.9000000000;  0.000000000
708.0000000;  0.9000000000;  0.000000000
716.0000000;  0.9000000000;  0.000000000
724.0000000;  0.9000000000;  0.000000000
732.0000000;  0.9000000000;  0.000000000
740.0000000;  0.9000000000;  0.000000000
748.0000000;  0.9000000000;  0.000000000
756.0000000;  0.9000000000;  0.000000000
764.0000000;  0.9000000000;  0.000000000
772.0000000;  0.9000000000;  0.000000000
780.0000000;  0.9000000000;  0.000000000
788.0000000;  0.9000000000;  0.000000000
796.0000000;  0.9000000000;  0.000000000
804.0000000;  0.9000000000;  0.000000000
812.0000000;  0.9000000000;  0.000000000
820.0000000;  0.9000000000;  0.000000000
828.0000000;  0.9000000000;  0.000000000
836.0000000;  0.9000000000;  0.000000000
844.0000000;  0.9000000000;  0.000000000
852.0000000;  0.9000000000;  0.000000000
860.0000000;  0.9000000000;  0.000000000
868.0000000;  0.9000000000;  0.000000000
876.0000000;  0.9000000000;  0.000000000
884.0000000;  0.9000000000;  0.000000000
892.0000000;  0.9000000000;  0.000000000
900.0000000;  0.9000000000;  0.000000000
908.0000000;  0.9000000000;  0.000000000
916.0000000;  0.9000000000;  0.000000000
924.0000000;  0.9000000000;  0.000000000
932.0000000;  0.9000000000;  0.000000000
940.0000000;  0.9000000000;  0.000000000
948.0000000;  0.9000000000;  0.000000000
956.0000000;  0.9000000000;  0.000000000
964.0000000;  0.9000000000;  0.000000000
972.0000000;  0.9000000000;  0.000000000
980.0000000;  0.9000000000;  0.000000000
988.0000000;  0.9000000000;  0.000000000
996.0000000;  0.9000000000;  0.000000000
204.0000000;  2.700000000;  0.000000000
212.0000000;  2.700000000;  0.000000000
220.0000000;  2.700000000;  0.000000000
228.0000000;  2.700000000;  0.000000000
236.0000000;  2.700000000;  0.000000000
244.0000000;  2.700000000;  0.000000000
252.0000000;  2.700000000;  0.000000000
260.0000000;  2.700000000;  0.000000000
268.0000000;  2.700000000;  0.000000000
276.0000000;  2.700000000;  0.02118820679
284.0000000;  2.700000000;  0.3930101216
292.0000000;  2.700000000;  1.992420664
300.0000000;  2.700000000;  9.520953963
308.0000000;  2.700000000;  29.74986595
316.0000000;  2.700000000;  92.26771998
324.0000000;  2.700000000;  266.2557919
332.0000000;  2.700000000;  633.6071099
340.0000000;  2.700000000;  1162.641423
348.0000000;  2.700000000;  1806.455712
356.0000000;  2.700000000;  2520.160486
364.0000000;  2.700000000;  3248.664729
372.0000000;  2.700000000;  3960.541368
380.0000000;  2.700000000;  4652.812942
388.0000000;  2.700000000;  5089.758591
396.0000000;  2.700000000;  4656.411667
404.0000000;  2.700000000;  2604.405293
412.0000000;  2.700000000;  1658.357810
420.0000000;  2.700000000;  1403.043207
428.0000000;  2.700000000;  1314.784631
436.0000000;  2.700000000;  1209.753312
444.0000000;  2.700000000;  1091.037933
452.0000000;  2.700000000;  960.2852860
460.0000000;  2.700000000;  813.6863209
468.0000000;  2.700000000;  655.3642508
476.0000000;  2.700000000;  515.7197116
484.0000000;  2.700000000;  402.6931666
492.0000000;  2.700000000;  322.2053922
500.0000000;  2.700000000;  268.6996470
508.0000000;  2.700000000;  233.7119743
516.0000000;  2.700000000;  217.3058925
524.0000000;  2.700000000;  200.6003689
532.0000000;  2.700000000;  185.2842193
540.0000000;  2.700000000;  167.8339916
548.0000000;  2.700000000;  146.0069293
556.0000000;  2.700000000;  122.8696380
564.0000000;  2.700000000;  96.66981784
572.0000000;  2.700000000;  70.70993817
580.0000000;  2.700000000;  47.93867648
588.0000000;  2.700000000;  26.66810028
596.0000000;  2.700000000;  11.90250321
604.0000000;  2.700000000;  3.589560214
612.0000000;  2.700000000;  0.5799630646
620.0000000;  2.700000000;  0.05220147971
628.0000000;  2.700000000;  0.002101988449
636.0000000;  2.700000000;  0.000000000
644.0000000;  2.700000000;  0.000000000
652.0000000;  2.700000000;  0.000000000
660.0000000;  2.700000000;  0.000000000
668.0000000;  2.700000000;  0.000000000
676.0000000;  2.700000000;  0.000000000
684.0000000;  2.700000000;  0.000000000
692.0000000;  2.700000000;  0.000000000
700.0000000;  2.700000000;  0.000000000
708.0000000;  2.700000000;  0.000000000
716.0000000;  2.700000000;  0.000000000
724.0000000;  2.700000000;  0.000000000
732.0000000;  2.700000000;  0.000000000
740.0000000;  2.700000000;  0.000000000
748.0000000;  2.700000000;  0.000000000
756.0000000;  2.700000000;  0.000000000
764.0000000;  2.700000000;  0.000000000
772.0000000;  2.700000000;  0.000000000
780.0000000;  2.700000000;  0.000000000
788.0000000;  2.700000000;  0.000000000
796.0000000;  2.700000000;  0.000000000
804.0000000;  2.700000000;  0.000000000
812.0000000;  2.700000000;  0.000000000
820.0000000;  2.700000000;  0.000000000
828.0000000;  2.700000000;  0.000000000
836.0000000;  2.700000000;  0.000000000
844.0000000;  2.700000000;  0.000000000
852.0000000;  2.700000000;  0.000000000
860.0000000;  2.700000000;  0.000000000
868.0000000;  2.700000000;  0.000000000
876.0000000;  2.700000000;  0.000000000
884.0000000;  2.700000000;  0.000000000
892.0000000;  2.700000000;  0.000000000
900.0000000;  2.700000000;  0.000000000
908.0000000;  2.700000000;  0.000000000
916.0000000;  2.700000000;  0.000000000
924.0000000;  2.700000000;  0.000000000
932.0000000;  2.700000000;  0.000000000
940.0000000;  2.700000000;  0.000000000
948.0000000;  2.700000000;  0.000000000
956.0000000;  2.700000000;  0.000000000
964.0000000;  2.700000000;  0.000000000
972.0000000;  2.700000000;  0.000000000
980.0000000;  2.700000000;  0.000000000
988.0000000;  2.700000000;  0.000000000
996.0000000;  2.700000000;  0.000000000
204.0000000;  4.500000000;  0.000000000
212.0000000;  4.500000000;  0.000000000
220.0000000;  4.500000000;  0.000000000
228.0000000;  4.500000000;  0.000000000
236.0000000;  4.500000000;  0.000000000
244.0000000;  4.500000000;  0.000000000
252.0000000;  4.500000000;  0.000000000
260.0000000;  4.500000000;  0.000000000
268.0000000;  4.500000000;  0.000000000
276.0000000;  4.500000000;  0.08038843438
284.0000000;  4.500000000;  0.4823324533
292.0000000;  4.500000000;  2.852264536
300.0000000;  4.500000000;  9.769992052
308.0000000;  4.500000000;  31.05430143
316.0000000;  4.500000000;  97.09164048
324.0000000;  4.500000000;  275.3194646
332.0000000;  4.500000000;  640.3287433
340.0000000;  4.500000000;  1178.921860
348.0000000;  4.500000000;  1800.918137
356.0000000;  4.500000000;  2499.219177
364.0000000;  4.500000000;  3205.955027
372.0000000;  4.500000000;  3902.003827
380.0000000;  4.500000000;  4537.613345
388.0000000;  4.500000000;  4853.963529
396.0000000;  4.500000000;  4426.892614
404.0000000;  4.500000000;  2650.546844
412.0000000;  4.500000000;  1759.345057
420.0000000;  4.500000000;  1410.036129
428.0000000;  4.500000000;  1298.462572
436.0000000;  4.500000000;  1191.816252
444.0000000;  4.500000000;  1078.047958
452.0000000;  4.500000000;  942.8685681
460.0000000;  4.500000000;  797.7147744
468.0000000;  4.500000000;  647.9445936
476.0000000;  4.500000000;  510.6893493
484.0000000;  4.500000000;  399.7032612
492.0000000;  4.500000000;  318.7219614
500.0000000;  4.500000000;  267.0358356
508.0000000;  4.500000000;  231.1866272
516.0000000;  4.500000000;  213.8248488
524.0000000;  4.500000000;  198.5536349
532.0000000;  4.500000000;  184.3309885
540.0000000;  4.500000000;  162.7144710
548.0000000;  4.500000000;  144.0746694
556.0000000;  4.500000000;  121.3206060
564.0000000;  4.500000000;  96.83026228
572.0000000;  4.500000000;  70.78497557
580.0000000;  4.500000000;  46.81988124
