# Angle (degree);  Occurrence
0.3000000000;  470.0786417
0.9000000000;  429.2962893
1.500000000;  432.5623946
2.100000000;  429.5903060
2.700000000;  431.0043221
3.300000000;  430.0707816
3.900000000;  425.4727851
4.500000000;  424.2925233
5.100000000;  421.2885871
5.700000000;  418.3443982
6.300000000;  414.9839003
6.900000000;  412.3142327
7.500000000;  407.7201004
8.100000000;  404.2683807
8.700000000;  398.9007699
9.300000000;  395.2477142
9.900000000;  390.2622688
10.50000000;  384.5274743
11.10000000;  379.9010797
11.70000000;  375.5697625
12.30000000;  371.4258129
12.90000000;  366.1620067
13.50000000;  358.9916983
14.10000000;  352.6342714
14.70000000;  347.8303151
15.30000000;  341.0542946
15.90000000;  336.1802623
16.50000000;  329.3486453
17.10000000;  323.6601586
17.70000000;  317.6913677
18.30000000;  309.7667046
18.90000000;  304.2610377
19.50000000;  298.1813845
20.10000000;  291.7092024
20.70000000;  285.8431879
21.30000000;  280.4940334
21.90000000;  273.5179307
22.50000000;  267.2542480
23.10000000;  261.1721668
23.70000000;  255.4307089
24.30000000;  250.8758812
24.90000000;  245.4368714
25.50000000;  240.1638453
26.10000000;  234.1875603
26.70000000;  228.6981848
27.30000000;  223.7006415
27.90000000;  218.4686602
28.50000000;  214.0214862
29.10000000;  209.4803006
29.70000000;  204.0759190
30.30000000;  199.5675121
30.90000000;  195.5471489
31.50000000;  191.0221408
32.10000000;  186.3881646
32.70000000;  182.6507291
33.30000000;  178.5398432
33.90000000;  175.2869621
34.50000000;  171.1039040
35.10000000;  168.0244720
35.70000000;  164.5815056
36.30000000;  161.5190544
36.90000000;  158.4729051
37.50000000;  155.3971313
38.10000000;  151.5162104
38.70000000;  149.0162590
39.30000000;  146.6302145
39.90000000;  143.4237687
40.50000000;  140.9604706
41.10000000;  139.0692403
41.70000000;  137.0007739
42.30000000;  134.1448301
42.90000000;  131.6096790
43.50000000;  129.4368506
44.10000000;  127.3529601
44.70000000;  124.9285706
45.30000000;  123.3768752
45.90000000;  121.7868755
46.50000000;  119.8134263
47.10000000;  118.0487973
47.70000000;  116.0779958
48.30000000;  114.4581060
48.90000000;  113.0302910
49.50000000;  111.1318628
50.10000000;  109.7377325
50.70000000;  108.2910856
51.30000000;  106.5501264
51.90000000;  105.1684147
52.50000000;  103.2792832
53.10000000;  101.8865007
53.70000000;  101.1199672
54.30000000;  99.40908929
54.90000000;  97.89375914
55.50000000;  96.86174439
56.10000000;  95.22792029
56.70000000;  94.51901585
57.30000000;  93.16913883
57.90000000;  91.82908963
58.50000000;  90.07380506
59.10000000;  89.26800474
59.70000000;  88.01348821
60.30000000;  87.15664379
60.90000000;  85.82175957
61.50000000;  85.01079337
62.10000000;  83.69839549
62.70000000;  82.37597311
63.30000000;  81.22813269
63.90000000;  80.41214093
64.50000000;  79.51118842
65.10000000;  78.05155246
65.70000000;  77.28724150
66.30000000;  76.26711082
66.90000000;  75.28940519
67.50000000;  74.46946368
68.10000000;  73.20830624
68.70000000;  72.38393896
69.30000000;  71.63098600
69.90000000;  70.57797439
70.50000000;  70.04350166
71.10000000;  68.65231999
71.70000000;  67.80570437
72.30000000;  66.97715446
72.90000000;  65.95808372
73.50000000;  65.09422090
74.10000000;  63.85422338
74.70000000;  63.29031149
75.30000000;  62.67896281
75.90000000;  61.66085599
76.50000000;  60.81969696
77.10000000;  60.17618644
77.70000000;  59.19382563
78.30000000;  58.10128809
78.90000000;  57.20564007
79.50000000;  56.73566168
80.10000000;  56.20850550
80.70000000;  55.44675066
81.30000000;  54.62832615
81.90000000;  53.98841323
82.50000000;  53.32869052
83.10000000;  52.35278854
83.70000000;  51.55429019
84.30000000;  50.78926888
84.90000000;  50.10698918
85.50000000;  49.33505124
86.10000000;  48.74231518
86.70000000;  48.14630840
87.30000000;  47.43076919
87.90000000;  46.66980473
88.50000000;  45.93263945
89.10000000;  45.27856076
89.70000000;  44.62718085
90.30000000;  43.79832811
90.90000000;  43.17831771
91.50000000;  42.71216546
92.10000000;  42.03202543
92.70000000;  41.41626148
93.30000000;  40.86332689
93.90000000;  40.20127780
94.50000000;  39.77454660
95.10000000;  39.25543446
95.70000000;  38.48189843
96.30000000;  37.94572339
96.90000000;  37.45941359
97.50000000;  36.88384580
98.10000000;  36.38323430
98.70000000;  35.79393749
99.30000000;  35.25863717
99.90000000;  34.74253546
100.5000000;  34.08673425
101.1000000;  33.83895408
101.7000000;  33.26598829
102.3000000;  32.77951996
102.9000000;  32.56526494
103.5000000;  32.03817152
104.1000000;  31.34185935
104.7000000;  31.07760150
105.3000000;  30.61352538
105.9000000;  30.09153219
106.5000000;  29.62436242
107.1000000;  29.32406757
107.7000000;  28.81728163
108.3000000;  28.47019933
108.9000000;  28.15036843
109.5000000;  27.71807302
110.1000000;  27.46870652
110.7000000;  27.20542607
111.3000000;  26.83594723
111.9000000;  26.17986066
112.5000000;  26.01865254
113.1000000;  25.58841989
113.7000000;  25.32847983
114.3000000;  25.07906079
114.9000000;  24.56036309
115.5000000;  24.22774859
116.1000000;  23.81378543
116.7000000;  23.85924326
117.3000000;  23.66767435
117.9000000;  23.27539489
118.5000000;  22.93307014
119.1000000;  22.61725043
119.7000000;  22.34900798
120.3000000;  22.12992748
120.9000000;  22.07156691
121.5000000;  21.72183447
122.1000000;  21.41252246
122.7000000;  21.21210944
123.3000000;  21.24082848
123.9000000;  20.93558937
124.5000000;  21.00755599
125.1000000;  20.63679084
125.7000000;  20.24166459
126.3000000;  20.32117962
126.9000000;  20.13807283
127.5000000;  20.05287969
128.1000000;  19.86030913
128.7000000;  19.45598308
129.3000000;  19.56148822
129.9000000;  19.40536640
130.5000000;  19.22451712
131.1000000;  19.13025992
131.7000000;  18.98364916
132.3000000;  19.06418997
132.9000000;  18.90684132
133.5000000;  18.91638718
134.1000000;  18.89131837
134.7000000;  18.84723522
135.3000000;  18.84263287
135.9000000;  18.92983528
136.5000000;  18.77456975
137.1000000;  18.54768383
137.7000000;  18.55944570
138.3000000;  18.27826510
138.9000000;  18.41786161
139.5000000;  18.34199742
140.1000000;  18.46003090
140.7000000;  18.50608281
141.3000000;  18.72240465
141.9000000;  18.46467809
142.5000000;  18.46464412
143.1000000;  18.41328820
143.7000000;  18.36667392
144.3000000;  18.38288136
144.9000000;  18.46345125
145.5000000;  18.36487578
146.1000000;  18.30501720
146.7000000;  18.42813363
147.3000000;  18.28323003
147.9000000;  18.17909263
148.5000000;  18.25449999
149.1000000;  18.20240122
149.7000000;  18.31749396
150.3000000;  18.00220021
150.9000000;  17.89745206
151.5000000;  18.13759752
152.1000000;  18.04084163
152.7000000;  18.25628798
153.3000000;  17.99897555
153.9000000;  18.08361672
154.5000000;  18.26931587
155.1000000;  18.35767907
155.7000000;  18.05516179
156.3000000;  17.88219584
156.9000000;  17.91062468
157.5000000;  17.83291269
158.1000000;  17.72169961
158.7000000;  17.62072071
159.3000000;  17.99704497
159.9000000;  17.93411869
160.5000000;  18.00288964
161.1000000;  17.64794973
161.7000000;  17.93542390
162.3000000;  17.74199204
162.9000000;  17.33834963
163.5000000;  17.71254999
164.1000000;  17.77288967
164.7000000;  17.71762017
165.3000000;  17.47520116
165.9000000;  17.40684362
166.5000000;  17.69290639
167.1000000;  17.40343313
167.7000000;  17.47383470
168.3000000;  17.62820922
168.9000000;  17.57988039
169.5000000;  17.29946179
170.1000000;  17.60961641
170.7000000;  17.78678135
171.3000000;  17.74602032
171.9000000;  17.31692097
172.5000000;  17.28801371
173.1000000;  17.27532921
173.7000000;  17.51670143
174.3000000;  17.64495524
174.9000000;  17.84271873
175.5000000;  17.37531239
176.1000000;  17.37568160
176.7000000;  17.53383361
177.3000000;  17.33504802
177.9000000;  17.54382246
178.5000000;  17.75177270
179.1000000;  17.38873247
179.7000000;  18.38262041
