# Distance / pm;  g(r);  Integral
201.3333333;  0.000000000;  0.000000000
204.0000000;  0.000000000;  0.000000000
206.6666667;  0.000000000;  0.000000000
209.3333333;  0.000000000;  0.000000000
212.0000000;  0.000000000;  0.000000000
214.6666667;  0.000000000;  0.000000000
217.3333333;  0.000000000;  0.000000000
220.0000000;  0.000000000;  0.000000000
222.6666667;  0.000000000;  0.000000000
225.3333333;  0.000000000;  0.000000000
228.0000000;  0.000000000;  0.000000000
230.6666667;  0.000000000;  0.000000000
233.3333333;  0.000000000;  0.000000000
236.0000000;  0.000000000;  0.000000000
238.6666667;  0.000000000;  0.000000000
241.3333333;  0.000000000;  0.000000000
244.0000000;  0.000000000;  0.000000000
246.6666667;  0.000000000;  0.000000000
249.3333333;  0.000000000;  0.000000000
252.0000000;  0.000000000;  0.000000000
254.6666667;  0.000000000;  0.000000000
257.3333333;  0.000000000;  0.000000000
260.0000000;  0.000000000;  0.000000000
262.6666667;  0.000000000;  0.000000000
265.3333333;  2.729101741E-07;  2.059824145E-08
268.0000000;  1.613498249E-06;  1.448392036E-07
270.6666667;  2.970543896E-06;  3.781485693E-07
273.3333333;  1.148633804E-05;  1.298160310E-06
276.0000000;  3.208077567E-05;  3.918089415E-06
278.6666667;  8.666147137E-05;  1.113286047E-05
281.3333333;  0.0002082431997;  2.880298459E-05
284.0000000;  0.0004452225837;  6.730116408E-05
286.6666667;  0.0008512660481;  0.0001422985237
289.3333333;  0.001480241647;  0.0002751467531
292.0000000;  0.002393823674;  0.0004939652425
294.6666667;  0.003669355319;  0.0008355338030
297.3333333;  0.005373463649;  0.001344826633
300.0000000;  0.007490813256;  0.002067592236
302.6666667;  0.01022376528;  0.003071666889
305.3333333;  0.01358708122;  0.004429669191
308.0000000;  0.01762365691;  0.006222021221
310.6666667;  0.02256995519;  0.008557338083
313.3333333;  0.02854534344;  0.01156185206
316.0000000;  0.03555934611;  0.01536859582
318.6666667;  0.04378888826;  0.02013579025
321.3333333;  0.05307051001;  0.02601055457
324.0000000;  0.06345107083;  0.03315148110
326.6666667;  0.07491496489;  0.04172193396
329.3333333;  0.08721480011;  0.05186308097
332.0000000;  0.1004089546;  0.06372825423
334.6666667;  0.1141394357;  0.07743347613
337.3333333;  0.1282599480;  0.09308061631
340.0000000;  0.1428690853;  0.1107866571
342.6666667;  0.1576246006;  0.1306290044
345.3333333;  0.1723983136;  0.1526702082
348.0000000;  0.1870296411;  0.1769527525
350.6666667;  0.2013784735;  0.2035004735
353.3333333;  0.2155682685;  0.2323526946
356.0000000;  0.2293747261;  0.2635179526
358.6666667;  0.2425079710;  0.2969631057
361.3333333;  0.2550161016;  0.3326582190
364.0000000;  0.2670163311;  0.3705867193
366.6666667;  0.2782969797;  0.4106989121
369.3333333;  0.2887513738;  0.4529255101
372.0000000;  0.2983323813;  0.4971854959
374.6666667;  0.3070777848;  0.5433984235
377.3333333;  0.3151864842;  0.5915092563
380.0000000;  0.3222988259;  0.6414035449
382.6666667;  0.3286565883;  0.6929986503
385.3333333;  0.3342357963;  0.7462034716
388.0000000;  0.3390661289;  0.8009268253
390.6666667;  0.3430576046;  0.8570580590
393.3333333;  0.3466438150;  0.9145530170
396.0000000;  0.3494191496;  0.9732967920
398.6666667;  0.3343374482;  1.030264616
401.3333333;  0.2333576449;  1.070560179
404.0000000;  0.2127516545;  1.107787381
406.6666667;  0.2080348239;  1.144671370
409.3333333;  0.2030063993;  1.181137411
412.0000000;  0.1978006420;  1.217132793
414.6666667;  0.1924945407;  1.252617506
417.3333333;  0.1870391758;  1.287541455
420.0000000;  0.1813375386;  1.321834882
422.6666667;  0.1753879485;  1.355425681
