# Angle (degree);  Occurrence
0.3000000000;  403.7658626
0.9000000000;  369.3760908
1.500000000;  368.1071237
2.100000000;  365.5556804
2.700000000;  368.6037766
3.300000000;  367.8027333
3.900000000;  362.5442297
4.500000000;  361.3582986
5.100000000;  359.6476525
5.700000000;  357.4148028
6.300000000;  355.6608769
6.900000000;  353.9904044
7.500000000;  348.8014495
8.100000000;  346.0077751
8.700000000;  342.1266052
9.300000000;  337.4136664
9.900000000;  334.8281322
10.50000000;  331.2842410
11.10000000;  327.1910668
11.70000000;  321.9458928
12.30000000;  318.5913533
12.90000000;  313.8837918
13.50000000;  308.6036236
14.10000000;  304.2273937
14.70000000;  299.1020588
15.30000000;  294.5364174
15.90000000;  289.7204026
16.50000000;  283.8982955
17.10000000;  277.7517674
17.70000000;  273.8924995
18.30000000;  270.3729147
18.90000000;  264.9829887
19.50000000;  258.9243686
20.10000000;  253.2230133
20.70000000;  248.5239409
21.30000000;  243.3275252
21.90000000;  240.3417877
22.50000000;  233.2897849
23.10000000;  230.0187903
23.70000000;  224.7641504
24.30000000;  219.6493314
24.90000000;  215.1314559
25.50000000;  210.2798203
26.10000000;  205.2512537
26.70000000;  202.4233425
27.30000000;  197.9257349
27.90000000;  193.4060841
28.50000000;  188.3778891
29.10000000;  185.8160368
29.70000000;  182.2604757
30.30000000;  177.9754398
30.90000000;  174.6277810
31.50000000;  171.0805511
32.10000000;  167.0883627
32.70000000;  164.3509956
33.30000000;  161.3289127
33.90000000;  158.5730138
34.50000000;  155.3985535
35.10000000;  152.1317626
35.70000000;  148.7981065
36.30000000;  146.3593701
36.90000000;  144.3944327
37.50000000;  141.8289032
38.10000000;  139.2179851
38.70000000;  136.7221346
39.30000000;  134.5450219
39.90000000;  132.2351457
40.50000000;  130.5404480
41.10000000;  128.3280016
41.70000000;  126.4876413
42.30000000;  124.2286942
42.90000000;  122.7145000
43.50000000;  120.9847611
44.10000000;  119.2687326
44.70000000;  117.6879458
45.30000000;  116.3639605
45.90000000;  114.5276918
46.50000000;  113.3742860
47.10000000;  112.0357711
47.70000000;  110.1874219
48.30000000;  109.0212501
48.90000000;  107.3396177
49.50000000;  106.3428672
50.10000000;  104.8731074
50.70000000;  104.0105228
51.30000000;  102.7668843
51.90000000;  101.6492727
52.50000000;  101.0195129
53.10000000;  99.82221374
53.70000000;  98.61943813
54.30000000;  97.80042172
54.90000000;  96.76604846
55.50000000;  95.74383640
56.10000000;  94.49637598
56.70000000;  93.56669530
57.30000000;  92.62679038
57.90000000;  91.48915283
58.50000000;  90.39791260
59.10000000;  89.54308696
59.70000000;  88.93646305
60.30000000;  88.46635652
60.90000000;  87.29429439
61.50000000;  86.47236118
62.10000000;  85.95259943
62.70000000;  84.82924829
63.30000000;  84.53495357
63.90000000;  83.50851438
64.50000000;  82.66771093
65.10000000;  81.99144075
65.70000000;  81.08231433
66.30000000;  80.23652612
66.90000000;  79.77084336
67.50000000;  78.97565805
68.10000000;  78.24801473
68.70000000;  77.32841668
69.30000000;  76.67299353
69.90000000;  76.16137489
70.50000000;  75.26173479
71.10000000;  74.53000433
71.70000000;  73.85833396
72.30000000;  73.33090037
72.90000000;  71.99655543
73.50000000;  71.40098895
74.10000000;  70.82205978
74.70000000;  70.31987501
75.30000000;  69.78532494
75.90000000;  69.23093991
76.50000000;  68.47412793
77.10000000;  67.87127305
77.70000000;  67.27882916
78.30000000;  67.01408333
78.90000000;  65.71797853
79.50000000;  65.34589037
80.10000000;  64.81975588
80.70000000;  63.99584874
81.30000000;  63.08304617
81.90000000;  62.72615750
82.50000000;  62.05754298
83.10000000;  61.34175233
83.70000000;  60.81328781
84.30000000;  60.53187288
84.90000000;  59.79648444
85.50000000;  59.35110768
86.10000000;  58.80828245
86.70000000;  57.94682144
87.30000000;  57.30708337
87.90000000;  57.33621293
88.50000000;  56.43735002
89.10000000;  55.69662118
89.70000000;  55.51145380
90.30000000;  54.71431340
90.90000000;  54.27277003
91.50000000;  53.89629911
92.10000000;  53.41998282
92.70000000;  52.56514018
93.30000000;  52.26077485
93.90000000;  51.73388248
94.50000000;  51.25321669
95.10000000;  50.73285086
95.70000000;  50.33018776
96.30000000;  49.90274177
96.90000000;  49.24926900
97.50000000;  48.72673165
98.10000000;  48.22777283
98.70000000;  47.86097690
99.30000000;  47.19022498
99.90000000;  47.16044275
100.5000000;  46.55618792
101.1000000;  45.72489802
101.7000000;  45.74076337
102.3000000;  44.98799847
102.9000000;  44.70435838
103.5000000;  44.24325146
104.1000000;  44.10023545
104.7000000;  43.52172919
105.3000000;  43.18475928
105.9000000;  42.84918910
106.5000000;  42.33292507
107.1000000;  42.09382432
107.7000000;  41.29263096
108.3000000;  41.18970089
108.9000000;  40.86618668
109.5000000;  40.47505487
110.1000000;  39.93844058
110.7000000;  39.50967569
111.3000000;  39.21812200
111.9000000;  39.28643421
112.5000000;  38.91510454
113.1000000;  38.62408601
113.7000000;  38.30784627
114.3000000;  38.02247094
114.9000000;  37.45229730
115.5000000;  37.20223717
116.1000000;  37.46989246
116.7000000;  36.92197201
117.3000000;  36.53862014
117.9000000;  36.29206144
118.5000000;  36.28981076
119.1000000;  35.99288891
119.7000000;  35.76574036
120.3000000;  35.50212119
120.9000000;  35.16771911
121.5000000;  35.20277013
122.1000000;  35.11240302
122.7000000;  34.40775522
123.3000000;  34.58976099
123.9000000;  34.68622895
124.5000000;  34.55410841
125.1000000;  34.40488394
125.7000000;  34.11797064
126.3000000;  34.08781016
126.9000000;  33.78723002
