# Angle (degree);  Occurrence
0.3000000000;  314.3653812
0.9000000000;  288.1839874
1.500000000;  286.5618195
2.100000000;  282.0950273
2.700000000;  283.7163100
3.300000000;  281.1868762
3.900000000;  279.4830688
4.500000000;  278.5255266
5.100000000;  279.3861129
5.700000000;  275.0328691
6.300000000;  274.6864795
6.900000000;  270.1946738
7.500000000;  267.5529618
8.100000000;  266.5115486
8.700000000;  263.8002905
9.300000000;  261.0921961
9.900000000;  258.2988918
10.50000000;  255.0496684
11.10000000;  253.7109388
11.70000000;  249.8557526
12.30000000;  246.7397174
12.90000000;  244.3849098
13.50000000;  239.7148675
14.10000000;  236.5020179
14.70000000;  231.3853897
15.30000000;  228.2346971
15.90000000;  224.8637522
16.50000000;  221.1479546
17.10000000;  216.8289826
17.70000000;  212.3917757
18.30000000;  209.5300610
18.90000000;  206.8937922
19.50000000;  202.4858618
20.10000000;  199.6562769
20.70000000;  195.9941998
21.30000000;  192.0101983
21.90000000;  189.0346681
22.50000000;  185.2562764
23.10000000;  180.4023329
23.70000000;  177.7369764
24.30000000;  174.3663661
24.90000000;  171.9362589
25.50000000;  168.5012470
26.10000000;  164.7469220
26.70000000;  160.9363042
27.30000000;  158.7448489
27.90000000;  155.4881136
28.50000000;  151.9889366
29.10000000;  149.5326914
29.70000000;  146.4422274
30.30000000;  144.0265482
30.90000000;  140.6933436
31.50000000;  138.2026562
32.10000000;  136.9906382
32.70000000;  134.0476404
33.30000000;  131.3345372
33.90000000;  128.8564437
34.50000000;  127.0919113
35.10000000;  124.8549297
35.70000000;  122.9993608
36.30000000;  121.2047118
36.90000000;  118.5117249
37.50000000;  117.0774755
38.10000000;  115.3613233
38.70000000;  113.5605456
39.30000000;  111.7368517
39.90000000;  110.6433932
40.50000000;  109.6144082
41.10000000;  108.1344026
41.70000000;  106.7460082
42.30000000;  104.7644609
42.90000000;  103.6662710
43.50000000;  102.5733546
44.10000000;  102.1641982
44.70000000;  101.0299935
45.30000000;  98.94908386
45.90000000;  98.61702383
46.50000000;  97.84061447
47.10000000;  96.33947986
47.70000000;  95.43102719
48.30000000;  94.40493635
48.90000000;  94.25043934
49.50000000;  93.44452511
50.10000000;  92.45107798
50.70000000;  91.86786465
51.30000000;  90.82052659
51.90000000;  90.32500454
52.50000000;  89.38866103
53.10000000;  89.01447491
53.70000000;  88.26921814
54.30000000;  87.63080399
54.90000000;  87.08811215
55.50000000;  86.07488772
56.10000000;  85.82710110
56.70000000;  85.26294178
57.30000000;  84.53731253
57.90000000;  84.37647897
58.50000000;  83.60378616
59.10000000;  83.37011863
59.70000000;  82.68846132
60.30000000;  82.39602712
60.90000000;  81.69403695
61.50000000;  81.52532092
62.10000000;  81.12698839
62.70000000;  80.36343748
63.30000000;  80.01276866
63.90000000;  79.61272391
64.50000000;  78.95635041
65.10000000;  78.85176896
65.70000000;  78.20268242
66.30000000;  77.90624482
66.90000000;  77.51987031
67.50000000;  77.10724929
68.10000000;  76.32920905
68.70000000;  76.35015275
69.30000000;  75.74699703
69.90000000;  75.45216908
70.50000000;  75.14137169
71.10000000;  74.62046269
71.70000000;  74.49545744
72.30000000;  74.33484089
72.90000000;  73.71785337
73.50000000;  73.41532870
74.10000000;  73.00429805
74.70000000;  72.75103740
75.30000000;  72.11235725
75.90000000;  71.96489500
76.50000000;  71.83407609
77.10000000;  71.09907602
77.70000000;  70.76301291
78.30000000;  70.68048805
78.90000000;  70.26519670
79.50000000;  69.83372331
80.10000000;  69.45883076
80.70000000;  69.25019396
81.30000000;  68.97549642
81.90000000;  68.59138823
82.50000000;  68.20422473
83.10000000;  67.71679052
83.70000000;  67.59991431
84.30000000;  67.64037440
84.90000000;  67.41113206
85.50000000;  66.65102977
86.10000000;  66.50351036
86.70000000;  65.93663486
87.30000000;  65.93549552
87.90000000;  65.72387120
88.50000000;  65.34423045
89.10000000;  64.73288956
89.70000000;  64.46594700
90.30000000;  64.19198285
90.90000000;  63.55669347
91.50000000;  63.32753879
92.10000000;  63.14034797
92.70000000;  63.10264734
93.30000000;  62.86706157
93.90000000;  62.46734164
94.50000000;  62.34366043
95.10000000;  62.04277709
95.70000000;  61.63959166
96.30000000;  61.27547450
96.90000000;  61.07395734
97.50000000;  60.78459902
98.10000000;  60.40045627
98.70000000;  60.06966277
99.30000000;  59.77249485
99.90000000;  59.72397482
100.5000000;  59.35993404
101.1000000;  59.41296216
101.7000000;  59.19280122
102.3000000;  58.97648994
102.9000000;  58.58244101
103.5000000;  58.19220952
104.1000000;  57.89459456
104.7000000;  57.87301691
105.3000000;  58.02922179
105.9000000;  57.49592524
106.5000000;  56.93685343
107.1000000;  57.22907248
107.7000000;  56.77116393
108.3000000;  56.77254648
108.9000000;  56.85258468
109.5000000;  56.35584021
110.1000000;  56.32773030
110.7000000;  56.08544794
111.3000000;  55.89246001
111.9000000;  55.92673108
112.5000000;  55.69655156
113.1000000;  55.47805782
113.7000000;  55.49309625
114.3000000;  55.09563668
114.9000000;  55.11380939
115.5000000;  54.89563162
116.1000000;  54.88795411
116.7000000;  54.90648234
117.3000000;  54.62847902
117.9000000;  54.75480623
118.5000000;  54.82967130
119.1000000;  54.93240100
119.7000000;  54.79248916
120.3000000;  54.63184161
120.9000000;  54.78412454
121.5000000;  54.95313778
122.1000000;  54.71771572
122.7000000;  54.73729201
123.3000000;  54.93865402
123.9000000;  55.08106803
124.5000000;  55.00612800
125.1000000;  54.91502518
125.7000000;  55.10091240
126.3000000;  55.37144866
126.9000000;  55.33074108
127.5000000;  55.58136317
128.1000000;  55.98683637
128.7000000;  56.09271213
129.3000000;  56.54471446
129.9000000;  56.42889098
130.5000000;  56.62396579
131.1000000;  57.21784271
131.7000000;  57.60230450
132.3000000;  57.83994088
132.9000000;  58.19008726
133.5000000;  58.87350308
134.1000000;  58.69839860
134.7000000;  59.11304245
135.3000000;  59.69240535
135.9000000;  59.83381423
136.5000000;  60.75427910
137.1000000;  60.80812415
137.7000000;  61.62630736
138.3000000;  62.00457793
138.9000000;  62.20604384
139.5000000;  62.84628608
140.1000000;  63.06535584
140.7000000;  63.13976193
141.3000000;  64.25516896
141.9000000;  64.64822624
142.5000000;  65.06273815
143.1000000;  65.57997969
143.7000000;  65.89481965
144.3000000;  66.35207696
144.9000000;  66.84465893
145.5000000;  67.72592642
146.1000000;  68.33001327
146.7000000;  68.38924758
147.3000000;  68.50934037
147.9000000;  69.36540422
148.5000000;  69.76450286
149.1000000;  70.28296616
149.7000000;  70.69111658
150.3000000;  71.43923993
150.9000000;  71.31272344
151.5000000;  72.03322507
152.1000000;  72.46332626
152.7000000;  72.20937545
153.3000000;  73.09960041
153.9000000;  72.67158022
154.5000000;  73.56262517
155.1000000;  73.88156617
155.7000000;  73.91341055
156.3000000;  74.15529388
156.9000000;  74.65503530
157.5000000;  74.69996137
158.1000000;  75.15948298
158.7000000;  75.49498182
159.3000000;  76.27790188
159.9000000;  76.28023579
160.5000000;  75.71868036
161.1000000;  76.03395638
161.7000000;  76.51004240
162.3000000;  76.71244480
162.9000000;  77.49808043
163.5000000;  77.40985396
164.1000000;  76.85181418
164.7000000;  77.82615192
165.3000000;  78.07030267
165.9000000;  77.50829525
166.5000000;  77.66016920
167.1000000;  78.69771406
167.7000000;  78.22829457
168.3000000;  79.31103077
168.9000000;  79.74341003
169.5000000;  79.04092436
170.1000000;  79.71506760
170.7000000;  79.87164723
171.3000000;  79.90614655
171.9000000;  79.90865736
172.5000000;  80.00013487
173.1000000;  80.41147578
173.7000000;  81.07859509
174.3000000;  79.53804639
174.9000000;  80.45671736
175.5000000;  79.19647036
176.1000000;  79.95206538
176.7000000;  80.21683797
177.3000000;  80.41975939
177.9000000;  79.73959824
178.5000000;  81.64463281
179.1000000;  83.73658688
179.7000000;  88.33711278
