# Distance / pm;  g(r);  Integral
201.3333333;  0.000000000;  0.000000000
204.0000000;  0.000000000;  0.000000000
206.6666667;  0.000000000;  0.000000000
209.3333333;  0.000000000;  0.000000000
212.0000000;  0.000000000;  0.000000000
214.6666667;  0.000000000;  0.000000000
217.3333333;  0.000000000;  0.000000000
220.0000000;  0.000000000;  0.000000000
222.6666667;  0.000000000;  0.000000000
225.3333333;  0.000000000;  0.000000000
228.0000000;  0.000000000;  0.000000000
230.6666667;  0.000000000;  0.000000000
233.3333333;  0.000000000;  0.000000000
236.0000000;  0.000000000;  0.000000000
238.6666667;  0.000000000;  0.000000000
241.3333333;  0.000000000;  0.000000000
244.0000000;  0.000000000;  0.000000000
246.6666667;  0.000000000;  0.000000000
249.3333333;  0.000000000;  0.000000000
252.0000000;  0.000000000;  0.000000000
254.6666667;  0.000000000;  0.000000000
257.3333333;  0.000000000;  0.000000000
260.0000000;  0.000000000;  0.000000000
262.6666667;  8.519263933E-08;  6.191233546E-09
265.3333333;  2.515765483E-07;  2.484724903E-08
268.0000000;  9.324279629E-07;  9.538959822E-08
270.6666667;  4.596376628E-06;  4.500805645E-07
273.3333333;  1.433842273E-05;  1.578450427E-06
276.0000000;  4.292270978E-05;  5.022505856E-06
278.6666667;  0.0001132626661;  1.428699758E-05
281.3333333;  0.0002799522199;  3.762646861E-05
284.0000000;  0.0006006493134;  8.865608620E-05
286.6666667;  0.001121218802;  0.0001857091734
289.3333333;  0.001950000600;  0.0003576568128
292.0000000;  0.003143180151;  0.0006399493860
294.6666667;  0.004770699114;  0.001076272750
297.3333333;  0.006852442854;  0.001714384866
300.0000000;  0.009473473371;  0.002612467018
302.6666667;  0.01270209944;  0.003838124055
305.3333333;  0.01641059594;  0.005449648912
308.0000000;  0.02092268154;  0.007540306690
310.6666667;  0.02628557941;  0.01021251921
313.3333333;  0.03245630092;  0.01356893919
316.0000000;  0.03966172394;  0.01774060767
318.6666667;  0.04793614145;  0.02286804476
321.3333333;  0.05710195869;  0.02907854402
324.0000000;  0.06755008954;  0.03654784326
326.6666667;  0.07885849321;  0.04541168485
329.3333333;  0.09109121777;  0.05581835330
332.0000000;  0.1040695349;  0.06790104165
334.6666667;  0.1175442646;  0.08176828430
337.3333333;  0.1315340920;  0.09753424959
340.0000000;  0.1460077194;  0.1153128405
342.6666667;  0.1607470587;  0.1351943980
345.3333333;  0.1755689834;  0.1572484509
348.0000000;  0.1900481666;  0.1814914170
350.6666667;  0.2043313501;  0.2079573693
353.3333333;  0.2185978737;  0.2367034522
356.0000000;  0.2322354041;  0.2677056093
358.6666667;  0.2458449428;  0.3010180744
361.3333333;  0.2584361924;  0.3365593342
364.0000000;  0.2702070229;  0.3742698784
366.6666667;  0.2814637055;  0.4141290835
369.3333333;  0.2915840914;  0.4560242752
372.0000000;  0.3013693251;  0.4999529643
374.6666667;  0.3099326857;  0.5457798963
377.3333333;  0.3177628530;  0.5934358029
380.0000000;  0.3248011999;  0.6428382041
382.6666667;  0.3310444537;  0.6938993784
385.3333333;  0.3362301702;  0.7464857287
388.0000000;  0.3410731549;  0.8005703953
390.6666667;  0.3448212971;  0.8560035940
393.3333333;  0.3482055084;  0.9127476354
396.0000000;  0.3507393325;  0.9706822259
398.6666667;  0.3358673913;  1.026909984
401.3333333;  0.2357116302;  1.066900272
404.0000000;  0.2151807265;  1.103894088
406.6666667;  0.2106651770;  1.140591287
409.3333333;  0.2060095901;  1.176949678
412.0000000;  0.2010580338;  1.212898018
414.6666667;  0.1956316713;  1.248330402
417.3333333;  0.1902020317;  1.283223878
420.0000000;  0.1847246526;  1.317546966
422.6666667;  0.1791463942;  1.351257604
