# Angle (degree);  Occurrence
0.3000000000;  95.90300317
0.9000000000;  89.20884905
1.500000000;  90.17747559
2.100000000;  89.94232963
2.700000000;  89.71580665
3.300000000;  90.43989520
3.900000000;  88.76373749
4.500000000;  89.73034930
5.100000000;  90.02410551
5.700000000;  87.80095330
6.300000000;  87.66732310
6.900000000;  86.88563354
7.500000000;  86.59593928
8.100000000;  85.27589129
8.700000000;  85.01529892
9.300000000;  84.15463057
9.900000000;  84.43821472
10.50000000;  82.62624512
11.10000000;  81.82024906
11.70000000;  81.08646650
12.30000000;  79.76089210
12.90000000;  78.55348418
13.50000000;  78.00099042
14.10000000;  77.44259429
14.70000000;  75.72440543
15.30000000;  75.69761020
15.90000000;  74.72259425
16.50000000;  73.40958966
17.10000000;  72.01835771
17.70000000;  71.23146237
18.30000000;  70.23767412
18.90000000;  69.28269781
19.50000000;  68.18724907
20.10000000;  66.70091945
20.70000000;  65.69573698
21.30000000;  65.01483757
21.90000000;  63.93649645
22.50000000;  63.10189675
23.10000000;  62.04787937
23.70000000;  60.48211732
24.30000000;  59.78898474
24.90000000;  58.61894279
25.50000000;  58.16431649
26.10000000;  57.17196334
26.70000000;  55.97458866
27.30000000;  55.23418335
27.90000000;  54.40324727
28.50000000;  53.75476388
29.10000000;  53.19697548
29.70000000;  52.08853011
30.30000000;  51.39161127
30.90000000;  50.72452493
31.50000000;  49.66628298
32.10000000;  49.09380195
32.70000000;  48.58592620
33.30000000;  48.12421443
33.90000000;  47.42023604
34.50000000;  46.83833705
35.10000000;  46.28819067
35.70000000;  45.76542897
36.30000000;  45.44056830
36.90000000;  44.67650989
37.50000000;  44.05881201
38.10000000;  43.91961960
38.70000000;  43.52055903
39.30000000;  43.36004294
39.90000000;  42.95197953
40.50000000;  42.24696299
41.10000000;  42.08057035
41.70000000;  41.84963600
42.30000000;  41.67096814
42.90000000;  41.34239374
43.50000000;  41.24960891
44.10000000;  41.03292689
44.70000000;  40.82406010
45.30000000;  40.71920460
45.90000000;  40.51314003
46.50000000;  40.43149718
47.10000000;  40.62330609
47.70000000;  40.12452501
48.30000000;  40.04661343
48.90000000;  40.14647262
49.50000000;  40.13880522
50.10000000;  39.91258797
50.70000000;  39.97660031
51.30000000;  40.15964191
51.90000000;  39.98432984
52.50000000;  39.96716573
53.10000000;  39.93447759
53.70000000;  40.03250030
54.30000000;  39.95991452
54.90000000;  40.05426696
55.50000000;  40.23186981
56.10000000;  40.11259581
56.70000000;  40.44530526
57.30000000;  40.30967579
57.90000000;  40.56087940
58.50000000;  40.35290595
59.10000000;  40.52368891
59.70000000;  40.58997654
60.30000000;  40.55335853
60.90000000;  40.75532179
61.50000000;  40.72162937
62.10000000;  41.18406655
62.70000000;  41.57532154
63.30000000;  41.49258532
63.90000000;  41.49935009
64.50000000;  41.96879259
65.10000000;  42.09347602
65.70000000;  42.31326369
66.30000000;  42.22431497
66.90000000;  42.41314222
67.50000000;  42.60637642
68.10000000;  42.77428552
68.70000000;  43.33572026
69.30000000;  43.43950400
69.90000000;  43.39152897
70.50000000;  43.85026979
71.10000000;  43.93907231
71.70000000;  44.21177030
72.30000000;  44.56176424
72.90000000;  44.42129010
73.50000000;  44.79668322
74.10000000;  45.34061085
74.70000000;  45.50465552
75.30000000;  45.55827986
75.90000000;  45.69710474
76.50000000;  46.22735955
77.10000000;  46.66803628
77.70000000;  46.83478828
78.30000000;  47.19466958
78.90000000;  47.45314963
79.50000000;  47.56391832
80.10000000;  48.07072750
80.70000000;  48.49279466
81.30000000;  48.87352070
81.90000000;  49.07261108
82.50000000;  49.35458524
83.10000000;  49.66546969
83.70000000;  50.08006546
84.30000000;  50.63816953
84.90000000;  50.82224811
85.50000000;  51.22410107
86.10000000;  51.64360835
86.70000000;  52.09664870
87.30000000;  52.39844209
87.90000000;  52.87524119
88.50000000;  53.00061276
89.10000000;  53.37723871
89.70000000;  53.97640028
90.30000000;  54.71570256
90.90000000;  55.16579339
91.50000000;  55.15704711
92.10000000;  55.68082613
92.70000000;  56.21491714
93.30000000;  56.68928103
93.90000000;  56.90811058
94.50000000;  57.51206732
95.10000000;  58.10958145
95.70000000;  58.57703922
96.30000000;  59.05279730
96.90000000;  59.42347542
97.50000000;  59.82200239
98.10000000;  60.64872997
98.70000000;  60.98452468
99.30000000;  61.54396597
99.90000000;  61.78497403
100.5000000;  62.42742153
101.1000000;  62.86078350
101.7000000;  63.46099644
102.3000000;  64.04974900
102.9000000;  64.83809106
103.5000000;  65.12955806
104.1000000;  65.86072782
104.7000000;  66.59180868
105.3000000;  66.99714925
105.9000000;  67.58752773
106.5000000;  68.09301736
107.1000000;  68.72601896
107.7000000;  69.43506370
108.3000000;  70.27169097
108.9000000;  70.76749395
109.5000000;  71.67491351
110.1000000;  72.48400008
110.7000000;  73.28535710
111.3000000;  74.13047803
111.9000000;  74.70711652
112.5000000;  75.62330169
113.1000000;  76.46198273
113.7000000;  77.17306268
114.3000000;  78.07189030
114.9000000;  78.98712271
115.5000000;  80.33834370
116.1000000;  80.86123340
116.7000000;  81.51439034
117.3000000;  82.43029288
117.9000000;  83.37608864
118.5000000;  84.46559597
119.1000000;  85.40647577
119.7000000;  86.61257069
120.3000000;  87.54187091
120.9000000;  89.18426401
121.5000000;  90.27603367
122.1000000;  91.17183100
122.7000000;  92.31265066
123.3000000;  93.69013657
123.9000000;  95.24603862
124.5000000;  96.84948924
125.1000000;  97.85794332
125.7000000;  99.77293077
126.3000000;  100.8496883
126.9000000;  102.2945796
127.5000000;  104.0158902
128.1000000;  105.6836825
128.7000000;  107.9159961
129.3000000;  109.7289303
129.9000000;  111.2001521
130.5000000;  113.0473908
131.1000000;  115.1849984
131.7000000;  117.2460335
132.3000000;  119.0737604
132.9000000;  121.3226046
133.5000000;  124.1085163
134.1000000;  125.5885453
134.7000000;  127.7816954
135.3000000;  130.4708142
135.9000000;  132.3828106
136.5000000;  135.1643136
137.1000000;  137.5296199
137.7000000;  140.5978222
138.3000000;  142.9744997
138.9000000;  144.9471204
139.5000000;  147.9133135
140.1000000;  150.7568291
140.7000000;  153.0329425
141.3000000;  155.5248327
141.9000000;  157.8973910
142.5000000;  160.6703712
143.1000000;  162.7191662
143.7000000;  165.5426145
144.3000000;  167.8749523
144.9000000;  171.5053313
145.5000000;  174.3738398
146.1000000;  176.3234173
146.7000000;  179.1865488
147.3000000;  180.9226509
147.9000000;  183.2533866
148.5000000;  185.7784354
149.1000000;  188.6706436
149.7000000;  190.9653222
150.3000000;  193.6145272
150.9000000;  194.9600093
151.5000000;  198.2756019
152.1000000;  200.8777904
152.7000000;  202.7945797
153.3000000;  206.5098307
153.9000000;  207.9976079
154.5000000;  209.5430958
155.1000000;  211.1391583
155.7000000;  213.8039886
156.3000000;  216.2591788
156.9000000;  217.5697765
157.5000000;  219.8210112
158.1000000;  221.6709566
158.7000000;  223.9020468
159.3000000;  225.3160351
159.9000000;  227.7870270
160.5000000;  229.8326921
161.1000000;  230.8847446
161.7000000;  233.4521878
162.3000000;  234.2666541
162.9000000;  235.6503882
163.5000000;  236.0959670
164.1000000;  238.8045849
164.7000000;  239.0984435
165.3000000;  241.8990957
165.9000000;  242.1399731
166.5000000;  244.3963931
167.1000000;  244.0967422
167.7000000;  245.9128023
168.3000000;  247.5000136
168.9000000;  248.6627105
169.5000000;  249.7797609
170.1000000;  250.9773209
170.7000000;  251.7721735
171.3000000;  251.5406265
171.9000000;  251.8538289
172.5000000;  252.9418382
173.1000000;  254.9617918
173.7000000;  255.3439844
174.3000000;  255.6908753
174.9000000;  254.4526289
175.5000000;  254.9857394
176.1000000;  258.1426412
176.7000000;  258.4916365
177.3000000;  256.4544632
177.9000000;  257.2271793
178.5000000;  255.1686388
179.1000000;  254.9891477
179.7000000;  275.3512738
