# [N1C1-2r_N1C1-2o] Distance / pm; [C2r_N1r]-[C2o_N1o] Angle / Degree; Occurrence
204.0000000;  0.9000000000;  0.000000000
212.0000000;  0.9000000000;  0.000000000
220.0000000;  0.9000000000;  0.000000000
228.0000000;  0.9000000000;  0.000000000
236.0000000;  0.9000000000;  0.000000000
244.0000000;  0.9000000000;  0.000000000
252.0000000;  0.9000000000;  0.000000000
260.0000000;  0.9000000000;  0.000000000
268.0000000;  0.9000000000;  0.000000000
276.0000000;  0.9000000000;  0.000000000
284.0000000;  0.9000000000;  0.06932887429
292.0000000;  0.9000000000;  0.8783013979
300.0000000;  0.9000000000;  2.600939346
308.0000000;  0.9000000000;  5.431038726
316.0000000;  0.9000000000;  19.17154654
324.0000000;  0.9000000000;  57.96611823
332.0000000;  0.9000000000;  141.2923766
340.0000000;  0.9000000000;  258.9953007
348.0000000;  0.9000000000;  408.7352503
356.0000000;  0.9000000000;  562.1217126
364.0000000;  0.9000000000;  718.1393937
372.0000000;  0.9000000000;  874.7114570
380.0000000;  0.9000000000;  1044.755045
388.0000000;  0.9000000000;  1141.795785
396.0000000;  0.9000000000;  1066.891095
404.0000000;  0.9000000000;  571.6216488
412.0000000;  0.9000000000;  350.0648284
420.0000000;  0.9000000000;  310.0981549
428.0000000;  0.9000000000;  291.6345871
436.0000000;  0.9000000000;  263.0013099
444.0000000;  0.9000000000;  242.5214250
452.0000000;  0.9000000000;  213.2093989
460.0000000;  0.9000000000;  180.8237435
468.0000000;  0.9000000000;  149.8926373
476.0000000;  0.9000000000;  113.2965194
484.0000000;  0.9000000000;  93.15519519
492.0000000;  0.9000000000;  72.71946937
500.0000000;  0.9000000000;  61.29084146
508.0000000;  0.9000000000;  51.75911497
516.0000000;  0.9000000000;  48.32891656
524.0000000;  0.9000000000;  45.17089868
532.0000000;  0.9000000000;  39.34189535
540.0000000;  0.9000000000;  37.27476033
548.0000000;  0.9000000000;  33.54688554
556.0000000;  0.9000000000;  29.43377586
564.0000000;  0.9000000000;  21.44768484
572.0000000;  0.9000000000;  16.83515191
580.0000000;  0.9000000000;  11.83470226
588.0000000;  0.9000000000;  6.113282324
596.0000000;  0.9000000000;  2.566489920
604.0000000;  0.9000000000;  0.7230813579
612.0000000;  0.9000000000;  0.1677039267
620.0000000;  0.9000000000;  0.009343791221
628.0000000;  0.9000000000;  0.0006974760927
636.0000000;  0.9000000000;  0.000000000
644.0000000;  0.9000000000;  0.000000000
652.0000000;  0.9000000000;  0.000000000
660.0000000;  0.9000000000;  0.000000000
668.0000000;  0.9000000000;  0.000000000
676.0000000;  0.9000000000;  0.000000000
684.0000000;  0.9000000000;  0.000000000
692.0000000;  0.9000000000;  0.000000000
700.0000000;  0.9000000000;  0.000000000
708.0000000;  0.9000000000;  0.000000000
716.0000000;  0.9000000000;  0.000000000
724.0000000;  0.9000000000;  0.000000000
732.0000000;  0.9000000000;  0.000000000
740.0000000;  0.9000000000;  0.000000000
748.0000000;  0.9000000000;  0.000000000
756.0000000;  0.9000000000;  0.000000000
764.0000000;  0.9000000000;  0.000000000
772.0000000;  0.9000000000;  0.000000000
780.0000000;  0.9000000000;  0.000000000
788.0000000;  0.9000000000;  0.000000000
796.0000000;  0.9000000000;  0.000000000
804.0000000;  0.9000000000;  0.000000000
812.0000000;  0.9000000000;  0.000000000
820.0000000;  0.9000000000;  0.000000000
828.0000000;  0.9000000000;  0.000000000
836.0000000;  0.9000000000;  0.000000000
844.0000000;  0.9000000000;  0.000000000
852.0000000;  0.9000000000;  0.000000000
860.0000000;  0.9000000000;  0.000000000
868.0000000;  0.9000000000;  0.000000000
876.0000000;  0.9000000000;  0.000000000
884.0000000;  0.9000000000;  0.000000000
892.0000000;  0.9000000000;  0.000000000
900.0000000;  0.9000000000;  0.000000000
908.0000000;  0.9000000000;  0.000000000
916.0000000;  0.9000000000;  0.000000000
924.0000000;  0.9000000000;  0.000000000
932.0000000;  0.9000000000;  0.000000000
940.0000000;  0.9000000000;  0.000000000
948.0000000;  0.9000000000;  0.000000000
956.0000000;  0.9000000000;  0.000000000
964.0000000;  0.9000000000;  0.000000000
972.0000000;  0.9000000000;  0.000000000
980.0000000;  0.9000000000;  0.000000000
988.0000000;  0.9000000000;  0.000000000
996.0000000;  0.9000000000;  0.000000000
204.0000000;  2.700000000;  0.000000000
212.0000000;  2.700000000;  0.000000000
220.0000000;  2.700000000;  0.000000000
228.0000000;  2.700000000;  0.000000000
236.0000000;  2.700000000;  0.000000000
244.0000000;  2.700000000;  0.000000000
252.0000000;  2.700000000;  0.000000000
260.0000000;  2.700000000;  0.000000000
268.0000000;  2.700000000;  0.000000000
276.0000000;  2.700000000;  0.000000000
284.0000000;  2.700000000;  0.2074560193
292.0000000;  2.700000000;  0.6415377456
300.0000000;  2.700000000;  2.125752744
308.0000000;  2.700000000;  6.968825730
316.0000000;  2.700000000;  22.11368574
324.0000000;  2.700000000;  58.07510997
332.0000000;  2.700000000;  132.6483754
340.0000000;  2.700000000;  247.7289093
348.0000000;  2.700000000;  383.0665191
356.0000000;  2.700000000;  523.6835876
364.0000000;  2.700000000;  666.0553275
372.0000000;  2.700000000;  813.9982696
380.0000000;  2.700000000;  952.4864542
388.0000000;  2.700000000;  1046.111227
396.0000000;  2.700000000;  961.6822364
404.0000000;  2.700000000;  536.9464478
412.0000000;  2.700000000;  338.2846737
420.0000000;  2.700000000;  286.5489661
428.0000000;  2.700000000;  268.3979257
436.0000000;  2.700000000;  244.7302978
444.0000000;  2.700000000;  224.1629476
452.0000000;  2.700000000;  198.8949737
460.0000000;  2.700000000;  166.7486626
468.0000000;  2.700000000;  137.8922720
476.0000000;  2.700000000;  106.7227233
484.0000000;  2.700000000;  83.70857373
492.0000000;  2.700000000;  68.41338597
500.0000000;  2.700000000;  54.84212731
508.0000000;  2.700000000;  48.30416380
516.0000000;  2.700000000;  43.93953035
524.0000000;  2.700000000;  40.55118832
532.0000000;  2.700000000;  37.83499833
540.0000000;  2.700000000;  34.55967107
548.0000000;  2.700000000;  30.86594955
556.0000000;  2.700000000;  25.77699896
564.0000000;  2.700000000;  20.18878640
572.0000000;  2.700000000;  15.17803938
580.0000000;  2.700000000;  11.01252294
588.0000000;  2.700000000;  5.991491864
596.0000000;  2.700000000;  2.753914799
604.0000000;  2.700000000;  0.7765613740
612.0000000;  2.700000000;  0.1245009200
620.0000000;  2.700000000;  0.01754285826
628.0000000;  2.700000000;  0.001876743359
636.0000000;  2.700000000;  0.000000000
644.0000000;  2.700000000;  0.000000000
652.0000000;  2.700000000;  0.000000000
660.0000000;  2.700000000;  0.000000000
668.0000000;  2.700000000;  0.000000000
676.0000000;  2.700000000;  0.000000000
684.0000000;  2.700000000;  0.000000000
692.0000000;  2.700000000;  0.000000000
700.0000000;  2.700000000;  0.000000000
708.0000000;  2.700000000;  0.000000000
716.0000000;  2.700000000;  0.000000000
724.0000000;  2.700000000;  0.000000000
732.0000000;  2.700000000;  0.000000000
740.0000000;  2.700000000;  0.000000000
748.0000000;  2.700000000;  0.000000000
756.0000000;  2.700000000;  0.000000000
764.0000000;  2.700000000;  0.000000000
772.0000000;  2.700000000;  0.000000000
780.0000000;  2.700000000;  0.000000000
788.0000000;  2.700000000;  0.000000000
796.0000000;  2.700000000;  0.000000000
804.0000000;  2.700000000;  0.000000000
812.0000000;  2.700000000;  0.000000000
820.0000000;  2.700000000;  0.000000000
828.0000000;  2.700000000;  0.000000000
836.0000000;  2.700000000;  0.000000000
844.0000000;  2.700000000;  0.000000000
852.0000000;  2.700000000;  0.000000000
860.0000000;  2.700000000;  0.000000000
868.0000000;  2.700000000;  0.000000000
876.0000000;  2.700000000;  0.000000000
884.0000000;  2.700000000;  0.000000000
892.0000000;  2.700000000;  0.000000000
900.0000000;  2.700000000;  0.000000000
908.0000000;  2.700000000;  0.000000000
916.0000000;  2.700000000;  0.000000000
924.0000000;  2.700000000;  0.000000000
932.0000000;  2.700000000;  0.000000000
940.0000000;  2.700000000;  0.000000000
948.0000000;  2.700000000;  0.000000000
956.0000000;  2.700000000;  0.000000000
964.0000000;  2.700000000;  0.000000000
972.0000000;  2.700000000;  0.000000000
980.0000000;  2.700000000;  0.000000000
988.0000000;  2.700000000;  0.000000000
996.0000000;  2.700000000;  0.000000000
204.0000000;  4.500000000;  0.000000000
212.0000000;  4.500000000;  0.000000000
220.0000000;  4.500000000;  0.000000000
228.0000000;  4.500000000;  0.000000000
236.0000000;  4.500000000;  0.000000000
244.0000000;  4.500000000;  0.000000000
252.0000000;  4.500000000;  0.000000000
260.0000000;  4.500000000;  0.000000000
268.0000000;  4.500000000;  0.000000000
276.0000000;  4.500000000;  0.04921480693
284.0000000;  4.500000000;  0.1249522279
292.0000000;  4.500000000;  0.4971552204
300.0000000;  4.500000000;  2.075984343
308.0000000;  4.500000000;  6.246821706
316.0000000;  4.500000000;  22.06484840
324.0000000;  4.500000000;  59.47346605
332.0000000;  4.500000000;  136.0620712
340.0000000;  4.500000000;  251.3694281
348.0000000;  4.500000000;  386.9044364
356.0000000;  4.500000000;  527.7289423
364.0000000;  4.500000000;  671.0477419
372.0000000;  4.500000000;  813.8485826
380.0000000;  4.500000000;  949.4852004
388.0000000;  4.500000000;  1011.407233
396.0000000;  4.500000000;  919.1408441
404.0000000;  4.500000000;  542.1427646
412.0000000;  4.500000000;  361.2121395
420.0000000;  4.500000000;  288.9460918
428.0000000;  4.500000000;  266.4898445
436.0000000;  4.500000000;  244.9757414
444.0000000;  4.500000000;  224.9040219
452.0000000;  4.500000000;  197.8502797
460.0000000;  4.500000000;  167.5541928
468.0000000;  4.500000000;  135.4602542
476.0000000;  4.500000000;  104.9333445
484.0000000;  4.500000000;  82.74310786
492.0000000;  4.500000000;  66.52783173
500.0000000;  4.500000000;  54.87937301
508.0000000;  4.500000000;  48.02802332
516.0000000;  4.500000000;  44.51707396
524.0000000;  4.500000000;  40.79652569
532.0000000;  4.500000000;  38.12917104
540.0000000;  4.500000000;  35.53508051
548.0000000;  4.500000000;  30.20255306
556.0000000;  4.500000000;  25.69538485
564.0000000;  4.500000000;  20.52224843
572.0000000;  4.500000000;  14.99077939
