# Distance / pm;  g(r);  Integral
830.6666667;  0.000000000;  2.376068729
833.3333333;  0.000000000;  2.376068729
836.0000000;  0.000000000;  2.376068729
838.6666667;  0.000000000;  2.376068729
841.3333333;  0.000000000;  2.376068729
844.0000000;  0.000000000;  2.376068729
846.6666667;  0.000000000;  2.376068729
849.3333333;  0.000000000;  2.376068729
852.0000000;  0.000000000;  2.376068729
854.6666667;  0.000000000;  2.376068729
857.3333333;  0.000000000;  2.376068729
860.0000000;  0.000000000;  2.376068729
862.6666667;  0.000000000;  2.376068729
865.3333333;  0.000000000;  2.376068729
868.0000000;  0.000000000;  2.376068729
870.6666667;  0.000000000;  2.376068729
873.3333333;  0.000000000;  2.376068729
876.0000000;  0.000000000;  2.376068729
878.6666667;  0.000000000;  2.376068729
881.3333333;  0.000000000;  2.376068729
884.0000000;  0.000000000;  2.376068729
886.6666667;  0.000000000;  2.376068729
889.3333333;  0.000000000;  2.376068729
892.0000000;  0.000000000;  2.376068729
894.6666667;  0.000000000;  2.376068729
897.3333333;  0.000000000;  2.376068729
900.0000000;  0.000000000;  2.376068729
902.6666667;  0.000000000;  2.376068729
905.3333333;  0.000000000;  2.376068729
908.0000000;  0.000000000;  2.376068729
910.6666667;  0.000000000;  2.376068729
913.3333333;  0.000000000;  2.376068729
916.0000000;  0.000000000;  2.376068729
918.6666667;  0.000000000;  2.376068729
921.3333333;  0.000000000;  2.376068729
924.0000000;  0.000000000;  2.376068729
926.6666667;  0.000000000;  2.376068729
929.3333333;  0.000000000;  2.376068729
932.0000000;  0.000000000;  2.376068729
934.6666667;  0.000000000;  2.376068729
937.3333333;  0.000000000;  2.376068729
940.0000000;  0.000000000;  2.376068729
942.6666667;  0.000000000;  2.376068729
945.3333333;  0.000000000;  2.376068729
948.0000000;  0.000000000;  2.376068729
950.6666667;  0.000000000;  2.376068729
953.3333333;  0.000000000;  2.376068729
956.0000000;  0.000000000;  2.376068729
958.6666667;  0.000000000;  2.376068729
961.3333333;  0.000000000;  2.376068729
964.0000000;  0.000000000;  2.376068729
966.6666667;  0.000000000;  2.376068729
969.3333333;  0.000000000;  2.376068729
972.0000000;  0.000000000;  2.376068729
974.6666667;  0.000000000;  2.376068729
977.3333333;  0.000000000;  2.376068729
980.0000000;  0.000000000;  2.376068729
982.6666667;  0.000000000;  2.376068729
985.3333333;  0.000000000;  2.376068729
988.0000000;  0.000000000;  2.376068729
990.6666667;  0.000000000;  2.376068729
993.3333333;  0.000000000;  2.376068729
996.0000000;  0.000000000;  2.376068729
998.6666667;  0.000000000;  2.376068729
