# Angle (degree);  Occurrence
0.3000000000;  229.9632789
0.9000000000;  204.0904967
1.500000000;  200.6526514
2.100000000;  203.6699959
2.700000000;  202.6204786
3.300000000;  202.9544036
3.900000000;  203.1351720
4.500000000;  200.2076966
5.100000000;  198.5627918
5.700000000;  198.9017932
6.300000000;  197.1122280
6.900000000;  194.4093587
7.500000000;  194.5148062
8.100000000;  193.4852054
8.700000000;  192.0791522
9.300000000;  188.7360137
9.900000000;  186.3804206
10.50000000;  183.9589417
11.10000000;  182.6046586
11.70000000;  181.1170095
12.30000000;  178.5277406
12.90000000;  176.2931962
13.50000000;  173.3508718
14.10000000;  171.1082320
14.70000000;  169.3266758
15.30000000;  167.1396099
15.90000000;  163.5886935
16.50000000;  161.0482178
17.10000000;  159.2964699
17.70000000;  156.0805916
18.30000000;  153.9437827
18.90000000;  152.3415509
19.50000000;  149.7533397
20.10000000;  146.7501162
20.70000000;  143.7444693
21.30000000;  139.8351101
21.90000000;  138.4937920
22.50000000;  136.1202324
23.10000000;  133.6740921
23.70000000;  131.6209534
24.30000000;  128.8341522
24.90000000;  125.8937853
25.50000000;  124.1011520
26.10000000;  121.6366444
26.70000000;  119.8939754
27.30000000;  117.4955770
27.90000000;  115.4984142
28.50000000;  113.7581911
29.10000000;  111.3862252
29.70000000;  109.4141821
30.30000000;  107.6091709
30.90000000;  105.8922145
31.50000000;  104.8903283
32.10000000;  103.0569350
32.70000000;  100.7234173
33.30000000;  99.30426077
33.90000000;  98.17085262
34.50000000;  96.08653904
35.10000000;  94.73645166
35.70000000;  93.61436997
36.30000000;  92.72108065
36.90000000;  90.75493118
37.50000000;  89.47212872
38.10000000;  89.39212919
38.70000000;  87.48062809
39.30000000;  86.50106625
39.90000000;  85.78442452
40.50000000;  84.44001480
41.10000000;  83.10438834
41.70000000;  82.88030160
42.30000000;  82.16166045
42.90000000;  81.49031298
43.50000000;  80.66522749
44.10000000;  79.96370188
44.70000000;  78.90612938
45.30000000;  78.34480005
45.90000000;  77.85369464
46.50000000;  77.48475267
47.10000000;  76.72169287
47.70000000;  76.23645734
48.30000000;  75.47392488
48.90000000;  75.39736837
49.50000000;  75.32147685
50.10000000;  74.56823625
50.70000000;  73.70424750
51.30000000;  73.23856266
51.90000000;  73.68121405
52.50000000;  72.70152913
53.10000000;  72.34717343
53.70000000;  72.34682689
54.30000000;  71.97454440
54.90000000;  71.72469603
55.50000000;  71.20594367
56.10000000;  71.34138038
56.70000000;  70.76965998
57.30000000;  70.44363158
57.90000000;  70.28191577
58.50000000;  70.29329678
59.10000000;  69.90048335
59.70000000;  69.17159689
60.30000000;  69.30967213
60.90000000;  69.39999376
61.50000000;  69.09151143
62.10000000;  69.15359376
62.70000000;  68.81785938
63.30000000;  68.85188924
63.90000000;  68.78376998
64.50000000;  68.27856414
65.10000000;  68.21519526
65.70000000;  67.94705778
66.30000000;  67.99382752
66.90000000;  68.03138240
67.50000000;  67.67781505
68.10000000;  67.65191083
68.70000000;  67.56686792
69.30000000;  67.48814994
69.90000000;  67.74617471
70.50000000;  67.29656047
71.10000000;  67.56970952
71.70000000;  67.39700056
72.30000000;  67.10277305
72.90000000;  67.11284015
73.50000000;  66.90584656
74.10000000;  66.84945234
74.70000000;  66.67331184
75.30000000;  67.05659780
75.90000000;  66.64251795
